method,num_samples,accuracy,13_recall,13+_recall,14_recall,14+_recall,13_precision,13+_precision,14_precision,14+_precision,13+_to_13,13+_to_14,14_to_13+
baseline_ce,122,0.7131147540983607,0.8928571428571429,0.4523809523809524,0.7368421052631579,0.8,0.8064516129032258,0.76,0.5185185185185185,0.5,12,11,1
regression_official_thresholds,122,0.7459016393442623,0.8928571428571429,0.6666666666666666,0.5789473684210527,0.4,0.8064516129032258,0.6666666666666666,0.6875,1.0,12,2,8
regression_searched_thresholds,122,0.7540983606557377,0.8928571428571429,0.6904761904761905,0.5263157894736842,0.6,0.819672131147541,0.6744186046511628,0.7142857142857143,0.75,11,2,8
multitask_cls_head,122,0.7131147540983607,0.9464285714285714,0.5476190476190477,0.47368421052631576,0.4,0.7571428571428571,0.6764705882352942,0.6,0.6666666666666666,16,3,8
multitask_regression_bucket,122,0.7377049180327869,0.9107142857142857,0.6428571428571429,0.5263157894736842,0.4,0.796875,0.6585365853658537,0.6666666666666666,1.0,13,2,9
