chart,true_label,pred_label,raw_level,num_events,chart_span_seconds,events_per_second,mean_density_500ms,p90_density_500ms,touch_ratio,compound_ratio,cross_zone_ratio,inner_add_ge2_ratio,inner_count_ge2_ratio,slide_active_ratio,hold_active_ratio,slide_conflict_ratio,mean_outer_move_dist,mean_slide_span,max_slide_span
11208_master,13+,14,13.8,639.0,134.4,4.754464285714286,3.5101716702639543,4.000000437829517,0.03599374021909233,0.06259780907668232,0.0,0.006259780907668232,0.006259780907668232,0.1752738654147105,0.13458528951486698,0.0,0.15512519561815336,0.5524256651017214,5.0
11159_master,13+,14,13.7,584.0,133.255813,4.382548024377743,3.4880128615789876,5.999998956612885,0.05650684931506849,0.05650684931506849,0.0,0.0,0.0,0.1421232876712329,0.2191780821917808,0.03424657534246575,0.15881849315068494,0.5941780821917808,7.0
592_master,13+,14,13.9,498.0,112.45714199999999,4.428353692289281,4.317268086096233,8.00000380397483,0.0,0.03614457831325301,0.0,0.0,0.0,0.1144578313253012,0.10040160642570281,0.01606425702811245,0.20958835341365462,0.41967871485943775,5.0
11881_master,13+,14,13.8,734.0,147.8125,4.965750528541226,3.7193453934052743,5.999998956612885,0.047683923705722074,0.05994550408719346,0.0013623978201634877,0.006811989100817439,0.006811989100817439,0.1566757493188011,0.11307901907356949,0.02997275204359673,0.15735694822888283,0.5517711171662125,5.0
11556_master,13+,14,13.8,647.0,141.712707,4.565575054606783,4.2519314714757,7.000003666562151,0.0695517774343122,0.04945904173106646,0.00463678516228748,0.02009273570324575,0.02009273570324575,0.14064914992272023,0.15301391035548687,0.03709428129829984,0.16479907264296753,0.46831530139103555,6.0
11413_master,13+,14,13.9,793.0,137.21428500000002,5.779281654238842,4.880202042398982,8.00000380397483,0.09205548549810845,0.03026481715006305,0.0025220680958385876,0.01008827238335435,0.01008827238335435,0.11223203026481715,0.17906683480453972,0.02648171500630517,0.18064312736443883,0.45775535939470363,7.0
11637_remaster,13+,14,13.8,725.0,140.96774100000002,5.14302062909556,3.801378455306069,4.999997184632331,0.020689655172413793,0.034482758620689655,0.002758620689655172,0.006896551724137931,0.006896551724137931,0.2,0.13379310344827586,0.05103448275862069,0.18155172413793103,0.713103448275862,6.0
411_master,13+,14,13.9,761.0,132.59375,5.739335375913269,4.722733407741534,7.000003666562151,0.0,0.011826544021024968,0.0,0.0,0.0,0.12483574244415244,0.07884362680683311,0.0,0.1545663600525624,0.5006570302233903,6.0
288_master,13+,14,13.8,519.0,103.74227300000001,5.002782231308928,3.938342013545576,5.999998956612885,0.0,0.007707129094412331,0.0,0.0,0.0,0.10597302504816955,0.011560693641618497,0.005780346820809248,0.20544315992292872,0.40655105973025046,5.0
427_master,13+,14,13.9,641.0,125.10989000000001,5.1234958323438695,3.7472691225417463,4.999997184632331,0.0,0.08580343213728549,0.0,0.0,0.0,0.2121684867394696,0.0249609984399376,0.015600624024960999,0.20670826833073322,0.7394695787831513,6.0
