chart,true_label,pred_label,raw_level,num_events,chart_span_seconds,events_per_second,mean_density_500ms,p90_density_500ms,touch_ratio,compound_ratio,cross_zone_ratio,inner_add_ge2_ratio,inner_count_ge2_ratio,slide_active_ratio,hold_active_ratio,slide_conflict_ratio,mean_outer_move_dist,mean_slide_span,max_slide_span
238_master,13+,13,13.8,568.0,118.80000000000001,4.78114478114478,3.172534429419502,4.000000437829517,0.0,0.04401408450704225,0.0,0.0,0.0,0.1073943661971831,0.11091549295774648,0.0017605633802816902,0.15404929577464788,0.3714788732394366,4.0
117_master,13+,13,13.7,290.0,117.5,2.4680851063829787,2.0206889471316782,2.999998555520698,0.0,0.0,0.0,0.0,0.0,0.4068965517241379,0.2,0.14482758620689656,0.15301724137931033,1.5103448275862068,4.0
786_master,13+,13,13.8,315.0,134.736842,2.337890626826477,1.692063018762683,2.999998555520698,0.0,0.06349206349206349,0.0,0.0,0.0,0.6476190476190476,0.15873015873015872,0.12063492063492064,0.24603174603174602,2.6253968253968254,6.0
11543_master,13+,13,13.7,513.0,128.823529,3.9821917935503843,3.175437612240299,4.999997184632331,0.05458089668615984,0.04873294346978557,0.001949317738791423,0.031189083820662766,0.03313840155945419,0.08187134502923976,0.2222222222222222,0.01364522417153996,0.125,0.3235867446393762,7.0
11779_remaster,13+,13,13.7,362.0,90.882353,3.9831715184574943,2.6464078424571924,4.000000437829517,0.022099447513812154,0.06077348066298342,0.0,0.013812154696132596,0.013812154696132596,0.22099447513812154,0.10220994475138122,0.052486187845303865,0.17437845303867403,0.850828729281768,6.0
548_master,13+,13,13.8,558.0,142.675856,3.9109630433897657,2.935482923141848,4.999997184632331,0.0,0.043010752688172046,0.0,0.0,0.0,0.23476702508960573,0.13440860215053763,0.0035842293906810036,0.21281362007168458,0.8405017921146953,7.0
380_master,13+,13,13.7,700.0,134.416667,5.207687525833386,3.4214277941021534,4.999997184632331,0.0,0.002857142857142857,0.0,0.0,0.0,0.11285714285714285,0.13142857142857142,0.018571428571428572,0.18946428571428572,0.4257142857142857,6.0
11232_remaster,13+,13,13.7,489.0,130.87719299999998,3.7363270772471417,2.689160535559961,4.000000437829517,0.12474437627811862,0.15132924335378323,0.0081799591002045,0.014314928425357873,0.014314928425357873,0.23517382413087934,0.278118609406953,0.10224948875255624,0.1579754601226994,0.7464212678936605,6.0
345_master,13+,13,13.6,578.0,118.76712300000001,4.866666678454441,3.173009485756568,4.000000437829517,0.0,0.005190311418685121,0.0,0.0,0.0,0.050173010380622836,0.04152249134948097,0.012110726643598616,0.23486159169550172,0.1695501730103806,4.0
11584_master,13+,13,13.6,641.0,146.82353,4.36578523891913,3.2527288551310445,4.999997184632331,0.09828393135725429,0.0421216848673947,0.0,0.0078003120124804995,0.0078003120124804995,0.1419656786271451,0.1934477379095164,0.0234009360374415,0.16322152886115446,0.5132605304212169,5.0
326_master,13+,13,13.7,310.0,84.452662,3.670695424615508,2.312902181036187,2.999998555520698,0.0,0.035483870967741936,0.0,0.0,0.0,0.15483870967741936,0.00967741935483871,0.0032258064516129032,0.24596774193548387,0.4935483870967742,4.0
11834_master,13+,13,13.7,510.0,142.0,3.591549295774648,3.084313089462062,4.000000437829517,0.011764705882352941,0.12352941176470589,0.00392156862745098,0.00196078431372549,0.00196078431372549,0.2627450980392157,0.1568627450980392,0.0196078431372549,0.17009803921568628,0.8705882352941177,6.0
