slice,count,raw_level_mean,mean_regression_pred_level,num_events,chart_span_seconds,events_per_second,mean_density_500ms,p90_density_500ms,touch_ratio,compound_ratio,cross_zone_ratio,inner_add_ge2_ratio,inner_count_ge2_ratio,slide_active_ratio,hold_active_ratio,slide_conflict_ratio,mean_outer_move_dist,mean_slide_span,max_slide_span
baseline_wrong_regression_right,15,13.866666666666667,13.879013333333335,677.6,133.8802074,5.068137395755949,3.952944760821464,5.999999314443096,0.027872492056609688,0.039466777777096215,0.0009921114528009083,0.004961659101427994,0.005045306111047401,0.139178912710121,0.11616659598318882,0.021495247061196744,0.17792308647367733,0.4937824648819341,5.533333333333333
baseline_right_regression_wrong,10,14.11,13.927359999999998,655.1,131.7024621,4.992742464454217,3.877016303025839,6.100001105313071,0.03546161936054751,0.05585622483901863,0.002374823020438964,0.007357657453045086,0.007357657453045086,0.1909215709812623,0.13127846001960322,0.05159519645785619,0.1841819225518833,0.7348024199505733,5.7
both_right,77,13.5,13.533477922077923,529.0519480519481,130.1537367922078,4.057306907488066,3.1662963293755473,4.894804734267647,0.04139508349522303,0.05602675192836908,0.0023625797612378745,0.01170650757308351,0.01190405789618261,0.20197977499297873,0.1333573444740683,0.03291917269954869,0.17408214298467564,0.7517068344890229,6.0519480519480515
both_wrong,20,13.75,13.620785000000001,539.55,125.46209005,4.3225252524871935,3.386164638444922,5.449999687907623,0.04124120118986831,0.05636832284050033,0.0013460789414024075,0.008002414943533768,0.008099880830473338,0.19490088748174475,0.1306007349894033,0.03786922998984048,0.1762692894987018,0.7255903919911735,5.7
fixed_13plus_boundary,10,13.8,13.82508,631.0,131.8096956,4.78934004310463,3.729466430707619,5.699999351673448,0.02304259458466089,0.049502270430181496,0.000875780367210614,0.004006105743586935,0.004006105743586935,0.1621815777462877,0.10942324141666804,0.023244179443725095,0.18042166568584564,0.5701062790934444,5.5
fixed_13plus_to_14,9,13.811111111111112,13.847988888888889,623.3333333333334,131.5200321111111,4.742856989468102,3.7636929458860044,5.777777370233571,0.025602882871845433,0.05468506238274134,0.0009730892969006822,0.004451228603985484,0.004451228603985484,0.16766207051174825,0.10697820474867877,0.023763373985091374,0.1794169301271301,0.586149833913351,5.444444444444445
fixed_13plus_to_13,1,13.7,13.6189,700.0,134.416667,5.207687525833386,3.4214277941021534,4.999997184632331,0.0,0.002857142857142857,0.0,0.0,0.0,0.11285714285714285,0.13142857142857142,0.018571428571428572,0.18946428571428572,0.4257142857142857,6.0
broken_14_to_13plus,6,14.15,13.912700000000001,628.6666666666666,122.2780005,5.147940133115621,3.9769120417629664,6.33333434959076,0.019194212898093352,0.04518887653203596,0.0008716186143118539,0.004747541721589604,0.004747541721589604,0.16761685917399768,0.11415951749513491,0.029090273377705828,0.19095228178556187,0.623657205251762,5.5
