group,count,raw_level_mean,outer_move_p90,outer_move_p95,outer_move_ge_0_25_ratio,outer_move_ge_0_375_ratio,outer_move_ge_0_5_ratio,busy_ratio,busy_outer_move_mean,busy_outer_move_p90,busy_compound_ratio,busy_cross_zone_ratio,busy_inner_add_ge2_ratio,busy_density_mean,busy_density_p90,dual_outer_ratio,dual_outer_span_mean,dual_outer_span_p90,dual_outer_wide_ratio,span_jump_mean,span_jump_p90,span_jump_ge_0_5_ratio,active_to_tap_ratio,active_to_compound_ratio,slide_conflict_when_busy_ratio,hold_only_ratio,slide_only_ratio,compound_with_slide_ratio
fixed_13plus_boundary,10,13.8,0.375,0.475,0.3739670096079742,0.16871340799204324,0.06813590816189433,0.2645568225586006,0.18838191582666652,0.3862500000000001,0.18048383581752322,0.002442250548868196,0.00458862988274753,2.9663552991392024,4.399999125517816,0.2616704834424367,0.5999486132400861,0.975,0.7150192926637663,0.19402051801344106,0.475,0.2452440706907854,0.9719514143470839,0.0,0.08476837273535656,0.1023752448123129,0.15513358114193257,0.04033397118919323
broken_14_to_13plus,6,14.15,0.4166666666666667,0.4791666666666667,0.4281567716968271,0.20391990488273418,0.0886121233075725,0.27484367140516647,0.20028142227032306,0.4166666666666667,0.16131862372208391,0.0,0.0050268642319241195,3.5162271665399736,5.666665522280819,0.24985791823491155,0.6029834719724797,0.9583333333333334,0.6776453584943729,0.19899659527988825,0.5749999999999998,0.278697004457295,0.9843545430741032,0.0021929824561403508,0.11313294960610472,0.10722681223116877,0.16068415391003157,0.03616993573300955
stable_13plus,19,13.75263157894737,0.3881578947368421,0.4934210526315789,0.37901549888199704,0.17309557720956423,0.07669476249571375,0.3002286369507914,0.18927873344803603,0.4342105263157895,0.17893818341555726,0.0033539517958370833,0.008578044193720005,2.7826586151420902,4.263157206172046,0.25678526465779966,0.5782991558509929,0.9473684210526315,0.6746475186426145,0.20016058510782428,0.5,0.26465576638509014,0.9618769432377506,0.0,0.11722183425093773,0.1042395738335312,0.18863877957267602,0.04329120364421697
stable_14,8,14.275,0.390625,0.46875,0.3461642348184901,0.17119901213261043,0.06985620679257482,0.3367616065558592,0.1688733263913762,0.390625,0.16059085842064413,0.006086925778395832,0.005321038616781551,3.657318017149312,6.3374980322916645,0.18911811324419775,0.609899337044376,0.96875,0.7051215875794714,0.1768464510261412,0.5,0.2145126158300296,0.9530429838686895,0.001644736842105263,0.1244012391461012,0.15375082201224094,0.17807188253071615,0.026090120794809678
