chart,raw_level,bucket_label,distance_to_centroid,pca_x,pca_y,density_load,rhythm_complexity,movement_stretch,occupancy_pressure,slide_complexity,touch_cross_mix
11449_master,13.3,13,0.321974,-0.932626,-0.280541,-0.867387,-0.390987,0.007403,0.332822,0.190495,0.0235
11433_master,13.4,13,0.351785,-0.906486,-0.324489,-0.820455,-0.369814,0.163942,0.393879,0.138744,-0.037919
11867_master,13.0,13,0.387066,-1.116575,-0.229312,-1.018633,-0.592995,0.017179,0.349644,0.476799,0.3529
11355_master,13.2,13,0.395498,-1.165955,-0.50271,-0.981765,-0.829156,-0.02048,0.685899,0.231613,0.193031
109_master,13.7,13+,0.406871,-0.763327,-0.478626,-0.649606,-0.611533,0.035501,0.473842,0.064888,-0.021522
11494_master,13.0,13,0.453266,-0.865149,-0.274042,-0.807416,-0.486696,-0.201372,0.300364,0.156378,0.155098
493_master,13.4,13,0.477043,-1.258091,-0.099958,-1.00418,-0.450171,0.087218,0.817682,0.373987,0.333046
11742_master,13.4,13,0.520189,-1.11166,0.100806,-0.971563,-0.173743,0.101014,0.444236,0.524515,0.286218
11410_remaster,13.4,13,0.538816,-0.963455,-0.429386,-0.90707,-0.751785,0.144192,0.221627,0.259716,0.469257
770_master,13.3,13,0.580744,-0.975737,-0.576495,-0.860197,-0.498672,0.161976,0.582417,-0.127778,-0.241061
11266_master,13.2,13,0.582955,-0.496668,-0.294895,-0.441362,-0.442661,0.089242,0.211817,0.228268,0.024793
11447_master,13.8,13+,0.586633,-1.025916,-0.495701,-0.950074,-0.96879,-0.11794,0.295667,0.490987,0.351709
764_master,13.3,13,0.596725,-0.607959,-0.645754,-0.504574,-0.721095,0.393195,0.397735,0.095176,-0.070875
582_master,13.3,13,0.598453,-1.109002,-0.751313,-0.976356,-0.914341,-0.167009,0.653466,0.027395,-0.161394
11806_master,13.7,13+,0.605027,-1.199056,0.037921,-1.094436,-0.362014,0.027556,0.323528,0.652692,0.439803
11250_remaster,13.0,13,0.606677,-1.058491,0.092154,-0.871098,-0.235681,0.340478,0.514195,0.647284,0.350364
252_remaster,13.7,13+,0.607241,-0.902125,-0.178061,-0.890267,-0.121628,0.171523,0.18174,0.18416,-0.105435
693_master,13.1,13,0.614011,-0.865077,-0.262669,-0.905217,-0.322642,-0.174362,0.055167,0.294339,-0.155303
673_master,13.5,13,0.627355,-0.555796,-0.096719,-0.442094,-0.378078,-0.134326,0.361928,0.537317,-0.087457
248_remaster,13.3,13,0.633561,-1.095415,0.014858,-0.882524,-0.056505,0.184414,0.742569,0.377277,-0.157308
11435_master,13.3,13,0.633873,-0.913344,-0.32017,-0.748466,-0.762548,0.217663,0.467284,0.32049,0.613245
11200_master,13.0,13,0.643678,-0.641455,0.076952,-0.551514,-0.206241,-0.082994,0.260858,0.416317,0.241767
666_master,13.9,13+,0.65097,-0.714791,-0.28587,-0.621329,-0.208385,0.192746,0.426146,0.054113,-0.255073
11914_remaster,13.7,13+,0.665602,-0.469899,-0.660255,-0.467221,-0.836075,0.163983,0.079445,0.283643,-0.061458
146_remaster,13.4,13,0.684373,-1.158266,-0.439389,-1.080601,-0.550706,-0.277097,0.488226,0.453011,-0.494138
849_master,13.7,13+,0.684711,-1.279449,-0.654303,-1.156487,-0.515084,0.513793,0.614451,-0.035187,-0.225227
811_master,13.1,13,0.692167,-1.108077,-0.385967,-0.987819,-0.38584,0.746186,0.437851,0.233724,0.108056
11381_master,13.2,13,0.700003,-1.098163,-0.34291,-1.050217,-0.288196,0.227671,0.337562,0.526084,-0.522632
11570_master,13.0,13,0.700997,-0.889721,-0.624734,-0.808507,-0.509245,0.021969,0.515522,-0.222308,-0.321939
11188_master,13.4,13,0.71209,-1.065697,0.162446,-0.968796,-0.225589,-0.221544,0.314617,0.44391,0.512629
11640_master,13.4,13,0.716588,-0.492462,-0.37557,-0.394405,-0.655653,0.012037,0.316377,0.039175,0.352515
622_master,13.4,13,0.723709,-0.742065,-0.968109,-0.729277,-0.93631,0.283195,0.254044,-0.134472,-0.177234
11622_master,13.2,13,0.723862,-0.951195,0.066575,-0.927241,-0.193265,-0.379891,0.173142,0.371537,0.212827
318_master,13.2,13,0.735261,-1.120682,-0.198115,-1.110819,-0.04021,0.165244,0.251611,0.171601,-0.28727
200_remaster,13.3,13,0.748001,-0.549986,-0.362917,-0.481118,-0.283125,0.115936,0.356616,0.079296,-0.386338
751_master,13.2,13,0.769861,-1.30772,-0.267117,-1.297251,-0.268508,0.540406,0.153936,0.552731,-0.048005
10225_master,13.4,13,0.770325,-0.409224,-0.595483,-0.379323,-0.689397,0.314926,0.147477,0.436005,-0.32555
11697_remaster,13.3,13,0.772916,-0.886011,-1.006258,-0.961411,-0.990616,0.297131,0.001343,-0.041092,-0.068071
574_master,13.8,13+,0.778872,-1.641105,-0.497969,-1.397697,-0.801672,0.464979,0.845874,0.420654,0.29982
11409_remaster,13.5,13,0.787532,-0.718283,-0.735678,-0.743049,-0.764938,0.2357,0.082256,-0.231855,0.230659
11485_remaster,13.3,13,0.787768,-1.201836,-0.056327,-1.027594,-0.14723,0.037097,0.66803,-0.151726,0.373249
690_master,13.3,13,0.792869,-1.471488,-0.894158,-1.257155,-1.075018,0.416141,0.853427,0.136071,0.031287
11561_remaster,13.7,13+,0.793549,-0.668006,-0.6389,-0.693542,-0.957292,0.056892,-0.019147,0.162092,0.431287
426_master,13.4,13,0.797951,-0.82431,-0.657379,-0.620264,-0.604323,0.357764,0.798058,0.120559,-0.537049
648_master,13.3,13,0.801978,-0.932108,-0.792591,-0.815051,-0.682224,0.775107,0.505069,-0.009304,-0.171479
11600_master,13.1,13,0.803028,-0.624157,-0.466375,-0.636658,-0.481348,0.194593,0.077445,-0.214241,0.273895
11059_master,13.4,13,0.804765,-0.456609,-0.164324,-0.393592,-0.416119,-0.103977,0.2047,0.040953,0.385248
466_master,13.3,13,0.80788,-1.295049,-0.1324,-1.193102,0.035836,0.235127,0.53677,0.011739,-0.168226
11500_master,13.0,13,0.809519,-0.448528,-0.449057,-0.471192,-0.487077,0.501218,-0.048705,0.28171,0.012597
11866_master,13.3,13,0.81651,-1.172019,-0.022531,-1.182075,-0.301418,-0.373025,0.108278,0.723024,-0.039239
817_master,13.4,13,0.819902,-0.536514,-0.397395,-0.633974,-0.40778,-0.136887,-0.133279,0.27238,-0.294993
11484_master,13.4,13,0.833719,-1.207489,-0.328071,-1.111853,-0.214853,0.660106,0.42732,-0.067956,0.19456
536_master,13.2,13,0.835723,-1.177016,-0.321094,-0.984245,-0.255501,0.625298,0.71279,0.49331,-0.451089
11709_master,13.3,13,0.84156,-0.688028,0.162216,-0.678255,-0.068636,-0.34058,0.081446,0.457111,0.10066
11373_master,13.0,13,0.846817,-0.855834,-0.967618,-0.826824,-1.26858,-0.288815,0.304696,0.112486,-0.035828
518_master,13.3,13,0.847587,-0.889782,-0.926236,-0.762755,-0.835687,0.125298,0.673081,-0.294447,-0.381672
664_expert,13.1,13,0.851732,-1.214433,-0.807174,-0.98943,-1.090301,0.733347,0.733032,0.459704,0.125095
11464_master,13.4,13,0.857853,-1.058014,0.213403,-0.893987,-0.411047,-0.463165,0.46816,0.747711,0.511252
10190_master,13.1,13,0.861232,-0.643122,-1.0503,-0.612763,-1.260823,-0.085424,0.286638,0.060376,-0.16328
312_remaster,13.2,13,0.872216,-0.757441,0.076531,-0.768299,-0.266059,-0.230234,-0.022054,0.868005,0.01573
510_master,13.1,13,0.872862,-0.959035,-0.303482,-0.964673,-0.652606,-0.687046,0.168699,0.247844,0.162493
364_master,13.8,13+,0.879358,-0.511863,-0.202372,-0.408416,-0.27385,0.346267,0.328907,0.668089,-0.445254
11878_master,13.1,13,0.88047,-1.033403,-0.118682,-0.979698,-0.365416,-0.480661,0.334928,0.746695,-0.409044
11799_master,13.2,13,0.88389,-1.097378,-0.003498,-1.146946,-0.095224,0.020974,-0.036582,0.144858,0.435464
302_master,13.0,13,0.886461,-0.683778,-1.001975,-0.724984,-0.945049,-0.057505,0.166572,0.046489,-0.59599
11773_master,13.1,13,0.887886,-1.3102,0.236902,-1.270687,0.074047,-0.279672,0.263482,0.469365,0.124631
131_remaster,13.5,13,0.900494,-0.983312,-0.025901,-0.782529,0.029942,0.668373,0.6491,0.41662,-0.201516
11420_master,13.2,13,0.907917,-0.858842,-0.088129,-0.824037,-0.383936,-0.466845,0.218148,-0.030288,0.510429
748_master,13.2,13,0.909954,-1.205381,-0.209394,-1.09387,-0.185708,-0.418902,0.642125,0.149441,-0.497136
11518_master,13.2,13,0.922698,-0.584106,0.135606,-0.539019,-0.218041,-0.530812,0.170125,0.605135,0.007788
11545_master,13.5,13,0.937237,-0.312444,-0.44132,-0.291708,-0.885808,-0.201392,0.043916,0.2975,0.369966
