chart,raw_level,bucket_label,distance_to_centroid,pca_x,pca_y,density_load,rhythm_complexity,movement_stretch,occupancy_pressure,slide_complexity,touch_cross_mix
24_remaster,14.0,14,1.53214,-0.367164,0.826135,-0.341389,1.71953,0.097944,0.329484,-0.823114,-0.618625
347_master,13.8,13+,1.560691,-0.735138,0.586387,-0.58411,0.552133,-1.572633,0.779754,0.090788,-0.771492
134_master,13.2,13,1.850105,-1.300317,0.646721,-1.155608,1.222824,-1.252916,1.002413,-0.842419,-0.839135
837_master,13.7,13+,1.874457,-1.303532,0.796375,-1.18992,0.171484,-1.060388,0.384008,1.741851,-0.396969
753_master,13.8,13+,1.993645,-2.432696,0.278695,-2.359798,0.434005,-1.003333,0.789843,0.14328,-0.5179
114_master,13.6,13+,1.994611,-0.723929,1.121375,-1.142846,1.67421,-1.552982,-0.826695,-0.056325,-0.715927
11777_master,13.2,13,2.020867,-1.918172,1.382565,-1.585102,0.863573,-0.141477,0.908072,2.072853,-0.205913
11251_remaster,13.0,13,2.041959,-2.188622,1.487436,-1.83174,0.846998,-0.078735,0.938042,1.747031,0.544004
777_remaster,13.8,13+,2.14472,-1.768361,1.527589,-1.380883,1.144908,-1.5412,1.364676,1.437583,-0.856193
11385_master,14.3,14,2.213073,0.868919,2.294492,0.992223,2.304432,-0.113192,-0.08056,0.767871,0.112287
265_master,13.3,13,2.217599,-1.950622,1.273492,-1.654567,2.026641,-0.835561,1.44445,-0.759398,-0.753419
244_master,13.0,13,2.356602,-0.49384,2.039744,-0.72138,3.100725,-0.2415,-0.485355,-0.357547,-0.51662
11597_master,13.1,13,2.374886,-1.065074,1.118521,-0.476662,1.169434,-1.567149,2.111536,-0.414807,-0.75753
308_master,13.7,13+,2.422322,-2.317748,1.365448,-1.61515,1.555892,-0.441492,2.432601,0.37005,-0.843265
424_master,13.3,13,2.443137,-0.370563,2.62605,-0.492422,3.32531,-0.7659,-0.306168,0.263924,-0.501976
11504_master,13.4,13,2.773359,-1.838269,2.585112,-1.287633,2.007346,-0.736667,1.47231,2.561309,-0.601892
216_master,13.3,13,2.790936,-2.598081,0.341464,-1.994292,0.627265,-0.870936,2.452158,-0.511258,-0.856193
828_master,13.5,13,2.880887,-2.396932,1.867941,-1.593137,2.06356,0.658891,2.45863,1.205217,-0.800871
154_expert,13.2,13,2.9742,0.068209,1.824576,-0.280703,3.165919,-0.827494,-0.6781,-1.230968,-0.750578
