chart,raw_level,bucket_label,distance_to_centroid,pca_x,pca_y,density_load,rhythm_complexity,movement_stretch,occupancy_pressure,slide_complexity,touch_cross_mix
11453_master,13.8,13+,0.481822,-0.019016,0.36007,0.111444,-0.225394,-0.209608,0.154338,0.212939,1.018676
11017_master,13.0,13,0.483948,-0.1279,0.386702,-0.109209,0.122515,0.013809,-0.096841,-0.112487,0.978526
11553_master,13.8,13+,0.509676,-0.392826,0.796525,-0.362731,0.318626,-0.220522,-0.123877,0.44715,1.049835
11669_master,13.6,13+,0.541368,-0.835754,0.363616,-0.709452,-0.12845,-0.088132,0.269377,0.252926,1.056681
11172_master,13.2,13,0.614613,-0.697232,0.995894,-0.576273,0.445452,-0.160107,0.123886,0.393531,1.364466
11444_master,13.3,13,0.622519,-0.278286,0.747044,-0.328969,0.280323,-0.305662,-0.361421,0.066798,1.426286
11566_master,13.8,13+,0.645114,-0.005299,0.132423,0.01648,-0.15303,-0.118656,-0.044708,-0.050546,0.683505
11425_master,13.9,13+,0.668024,0.017814,0.479479,0.110269,-0.217411,0.0518,-0.082928,0.419431,1.370465
11483_remaster,13.2,13,0.681178,-0.685399,0.430709,-0.636922,-0.231436,-0.228923,-0.038096,0.608021,1.127885
11459_master,13.7,13+,0.68319,-0.139819,0.54637,0.041912,0.210205,-0.317419,0.418535,-0.044956,0.689052
11511_master,13.2,13,0.690245,-0.743325,0.915735,-0.709271,0.448378,-0.447719,-0.032182,0.312317,1.164686
11335_master,13.1,13,0.690681,-0.9229,0.430013,-0.868811,-0.131489,-0.360988,0.075553,0.085789,1.385862
11292_master,13.9,13+,0.691675,0.142683,0.693791,0.096603,0.339387,-0.222453,-0.370032,0.054545,1.086944
11091_master,13.0,13,0.695416,-0.59924,0.878112,-0.314505,0.020127,-0.210719,0.518596,0.410543,1.663917
11708_master,13.4,13,0.702969,-0.316392,0.452116,-0.332445,0.232261,0.242478,-0.216768,-0.183129,1.245503
11246_master,13.7,13+,0.707167,0.147888,0.495453,0.072618,0.049013,-0.506861,-0.407822,0.010995,1.078623
11290_master,13.2,13,0.709,-0.353746,0.870837,-0.269534,0.529032,-0.380037,0.11072,0.317473,0.704825
11912_master,13.4,13,0.716598,-0.614238,0.477647,-0.6061,0.238098,0.277533,-0.118459,-0.043365,1.223856
11021_master,13.7,13+,0.726129,-0.767834,0.498869,-0.804721,0.1622,-0.546528,-0.109758,-0.052451,1.030467
11610_master,14.0,14,0.731033,-0.0604,0.331238,0.081877,-0.11184,0.160642,0.184433,0.387587,0.731847
11840_master,13.3,13,0.735719,-0.480615,0.13412,-0.451497,-0.236152,0.265336,-0.064122,0.354251,0.836243
11309_master,13.8,13+,0.745289,-0.106954,0.036855,-0.069655,-0.332049,-0.158332,0.009231,0.180883,0.557128
11028_master,13.9,13+,0.749518,-0.524018,0.557085,-0.327612,-0.253352,-0.55745,0.380503,0.661071,0.993297
11030_master,13.4,13,0.750453,-0.02997,0.402519,0.218631,-0.108308,0.16387,0.463088,-0.075368,1.224667
11377_master,14.0,14,0.754655,0.090913,1.036847,0.324081,0.314915,-0.165599,0.282954,0.425611,1.370696
11757_master,13.4,13,0.757513,-0.206776,0.090096,-0.347537,-0.128197,-0.057841,-0.494371,-0.130649,0.940234
11641_master,13.4,13,0.773861,-0.282805,0.242597,-0.194699,0.093579,-0.23023,0.256303,-0.217775,0.489859
11387_master,13.7,13+,0.77594,-0.670743,0.050321,-0.735051,-0.197734,-0.044444,-0.200449,0.112474,0.738371
10145_master,13.4,13,0.788119,-0.616052,0.022567,-0.626373,-0.071165,0.139782,-0.016501,-0.23364,0.735611
11738_master,13.8,13+,0.795813,-0.631691,0.786258,-0.56481,0.374273,0.074221,-0.007495,0.637778,0.894273
11475_master,14.3,14,0.798994,-0.022113,0.244198,0.148892,-0.3834,0.264618,0.185761,0.365102,1.144037
11231_master,13.7,13+,0.803248,-0.795519,0.122297,-0.679416,-0.52597,-0.378457,0.26883,0.387924,0.945866
11539_master,13.6,13+,0.805098,-0.45088,0.442094,-0.285179,0.217916,-0.162339,0.444538,0.079766,0.446048
10030_master,13.7,13+,0.813802,-0.623643,-0.050427,-0.510473,-0.480266,0.11129,0.250557,0.279333,0.732239
11505_master,13.9,13+,0.829954,0.235741,0.814283,0.490108,0.172941,-0.257697,0.41332,0.27906,1.061926
11411_master,13.0,13,0.829968,-0.993928,0.120839,-0.979612,-0.307928,-0.327459,0.05996,0.097264,0.980281
11242_master,13.0,13,0.834322,-0.654692,0.070541,-0.699155,-0.074357,-0.317678,-0.050256,-0.146287,0.553437
11805_master,13.2,13,0.839155,-0.232743,0.207621,-0.165266,-0.397646,-0.195347,0.008752,0.656538,0.686337
11682_master,13.7,13+,0.84237,-0.576299,0.621644,-0.392879,0.36753,0.221611,0.399626,0.327697,0.634967
11321_remaster,13.0,13,0.844021,-0.551681,0.119412,-0.595325,0.016856,-0.33282,-0.050436,-0.188562,0.490485
11126_master,13.2,13,0.849679,-0.334464,0.007381,-0.403582,-0.067937,0.028233,-0.202784,-0.077656,0.475192
11395_master,13.8,13+,0.852848,-0.100389,-0.115005,-0.193736,-0.287902,0.123292,-0.349315,-0.11725,0.71203
11289_master,13.4,13,0.853377,-1.003932,0.246745,-0.975571,0.013833,-0.080578,0.11281,0.123019,0.721115
10319_master,13.5,13,0.853647,-0.387572,-0.190043,-0.429521,-0.382078,0.198722,-0.163798,-0.326754,0.962235
11748_master,13.2,13,0.857544,-0.987244,0.2377,-0.824473,-0.208952,0.258852,0.371274,0.331418,1.005339
11094_master,13.4,13,0.858232,-0.441026,0.160674,-0.550327,-0.077727,-0.442452,-0.30379,0.120466,0.523927
11452_master,13.1,13,0.86214,-0.450683,0.284952,-0.328675,-0.07413,0.216929,0.208173,0.519451,0.542898
11761_master,13.9,13+,0.870611,-1.153375,0.674481,-0.910476,0.025822,-0.092471,0.561839,0.480285,1.267613
11869_master,13.6,13+,0.87658,-0.651831,0.630734,-0.452788,0.449261,-0.148581,0.558277,-0.021644,0.571087
11211_master,13.7,13+,0.879748,-0.55191,0.333929,-0.640673,0.119801,-0.150277,-0.300826,0.345731,0.53579
11784_master,13.8,13+,0.884475,-0.671002,0.16881,-0.523637,-0.519491,0.185381,0.206588,0.123196,1.633599
11552_master,13.3,13,0.885012,-0.918409,0.631558,-0.810858,0.256295,-0.434596,0.292117,-0.396377,1.42841
11772_master,13.7,13+,0.88738,-0.546411,0.83255,-0.530348,0.325126,-0.424841,-0.118758,0.748338,0.75871
11279_master,13.1,13,0.889674,-0.780141,0.921617,-0.526591,0.574349,0.282702,0.544083,0.175858,1.168517
11499_master,13.2,13,0.89093,-0.519897,0.501776,-0.428447,0.293815,-0.406961,0.273625,0.142992,0.355171
10367_master,13.7,13+,0.897366,-0.684495,0.741463,-0.667203,0.626486,0.057332,-0.026247,0.176636,0.727113
11101_master,13.9,13+,0.900577,-0.107368,0.169104,-0.139799,-0.013487,0.268615,-0.243862,-0.487916,1.286197
11197_master,13.2,13,0.906976,-0.900029,-0.0545,-0.930908,-0.492982,-0.150652,-0.102995,0.167944,0.992359
11683_master,13.5,13,0.909961,-0.226342,-0.003089,-0.127632,-0.480459,-0.568851,0.26026,0.098597,0.522166
11844_master,13.8,13+,0.918448,-0.562478,0.003989,-0.446973,-0.614,-0.5326,0.296318,0.340505,0.689421
11593_master,13.2,13,0.924117,-0.844055,0.255546,-0.616376,-0.002827,-0.049301,0.683008,0.015052,0.550054
11524_master,13.7,13+,0.924517,-0.595977,0.422819,-0.417457,0.283345,0.331037,0.441287,0.105211,0.558392
11490_master,13.7,13+,0.9259,0.072367,0.982879,0.258596,0.089765,-0.515845,0.1564,0.848929,1.151596
11162_master,13.4,13,0.931742,-0.391905,0.679742,-0.514545,0.60017,-0.177603,-0.428762,-0.261479,1.049679
11322_remaster,13.2,13,0.937145,-0.962703,-0.155543,-0.921731,-0.542148,-0.177735,0.166597,-0.110991,0.972874
11851_master,13.2,13,0.939674,-1.282988,0.376569,-1.114465,-0.13435,-0.199915,0.474276,0.15216,1.179216
11737_master,13.5,13,0.940511,-0.525811,0.791418,-0.302352,0.573131,-0.316156,0.608703,-0.036838,0.586823
11428_master,13.1,13,0.947602,-0.90658,0.289509,-0.857583,-0.118031,-0.770708,0.225145,0.043449,0.712573
11722_master,13.4,13,0.94897,-0.807686,0.065503,-0.600597,-0.664958,0.07795,0.433661,0.460891,1.189121
11726_master,13.6,13+,0.951341,-0.795242,0.667445,-0.670267,0.375848,0.429314,0.187744,0.478926,0.887138
11310_master,14.4,14,0.952979,-0.08532,0.966778,0.122334,0.570772,0.395185,0.257369,0.39957,1.058347
11090_master,13.2,13,0.962727,-0.650188,-0.212921,-0.680039,-0.322311,0.308047,-0.074822,-0.308231,0.856647
