chart,raw_level,bucket_label,distance_to_centroid,pca_x,pca_y,density_load,rhythm_complexity,movement_stretch,occupancy_pressure,slide_complexity,touch_cross_mix
11782_master,13.4,13,0.322272,-0.532142,-0.08984,-0.463937,0.216673,0.59777,0.299599,-0.08583,-0.257573
800_master,13.5,13,0.358019,-0.392708,0.076915,-0.364227,0.366602,0.272805,0.188362,-0.334141,-0.051802
11704_master,13.6,13+,0.385582,-0.448686,0.039292,-0.522816,0.27209,0.281573,-0.134561,-0.026397,-0.06743
11680_master,13.3,13,0.414587,-0.487351,-0.14891,-0.469172,0.127485,0.656666,0.124198,-0.201575,0.004133
11298_master,13.3,13,0.464231,-0.564989,-0.189899,-0.619842,0.13961,0.037887,0.063558,-0.35725,-0.263522
11609_master,13.2,13,0.474,-0.555978,0.153582,-0.632652,0.389377,0.189792,-0.126561,-0.117062,0.05759
839_master,13.8,13+,0.477563,-0.301919,-0.089415,-0.379952,0.310837,0.122098,-0.050734,-0.485539,-0.207516
11097_master,13.3,13,0.481516,-0.236728,-0.153905,-0.248935,0.154017,0.270026,0.085654,-0.44373,-0.099443
367_remaster,14.5,14,0.486298,-0.163587,-0.022181,-0.111486,0.269526,0.303347,0.240088,-0.219372,-0.309997
526_master,13.3,13,0.489768,-0.610871,-0.281118,-0.609962,-0.033331,0.292958,0.174454,0.027516,-0.428861
11775_master,13.2,13,0.528728,-0.809387,0.185937,-0.760675,0.305773,0.363007,0.2089,0.108924,0.092671
11351_master,13.0,13,0.531451,-0.564422,-0.048887,-0.439381,0.089534,0.431265,0.437573,-0.175836,0.053655
818_remaster,13.4,13,0.536416,-0.593046,0.279885,-0.576715,0.62455,0.069301,0.212763,-0.026452,-0.43428
709_master,13.3,13,0.540945,-0.158657,-0.262275,-0.174087,0.242762,0.46503,0.120828,-0.545331,-0.405067
11130_master,13.0,13,0.556392,-0.527721,-0.096065,-0.655518,0.148269,0.137479,-0.2338,-0.197824,0.007525
11811_master,13.7,13+,0.559543,-0.368542,-0.01678,-0.409602,0.086743,0.222891,-0.073601,0.172767,-0.117221
11186_master,13.2,13,0.571115,-0.698769,-0.361271,-0.723127,-0.128141,0.60466,0.052067,-0.070218,-0.071589
643_expert,13.0,13,0.577272,-0.660171,-0.543413,-0.695861,-0.146328,0.388788,0.147383,-0.490439,-0.274562
522_master,13.2,13,0.57849,-0.441912,-0.256805,-0.510354,0.048979,0.492021,-0.081974,0.188663,-0.507869
401_master,13.7,13+,0.578892,-0.414936,-0.189302,-0.518844,0.101208,-0.054937,-0.104507,-0.296677,-0.253787
11834_master,13.7,13+,0.580817,-0.404495,0.154888,-0.351191,0.216629,0.122208,0.194677,-0.107964,0.158051
480_master,13.2,13,0.588892,-0.804107,0.201571,-0.86705,0.642802,0.489979,-0.033623,0.12752,-0.398109
717_master,13.2,13,0.591508,-0.879369,-0.031969,-0.964057,0.298567,0.344959,-0.066703,0.164432,-0.36468
461_master,13.7,13+,0.60004,-0.473975,-0.415559,-0.498847,-0.155957,0.632184,0.030818,-0.272093,0.001417
11872_master,13.2,13,0.601647,-0.471345,0.31828,-0.492738,0.761232,0.276599,0.066928,-0.488636,0.001029
710_master,13.7,13+,0.608206,-0.451056,0.21868,-0.419611,0.437137,-0.135681,0.239204,-0.120228,-0.281057
11870_master,13.8,13+,0.611757,-0.281443,0.222763,-0.21504,0.264384,0.177927,0.189634,0.180557,-0.061615
552_master,13.2,13,0.613542,-0.832135,-0.477817,-0.865916,0.155501,0.598967,0.218296,-0.575813,-0.515957
11770_master,13.7,13+,0.616675,-0.134613,0.335561,-0.131249,0.583094,0.444574,-0.014649,0.140273,-0.185059
11786_master,13.7,13+,0.635025,-0.860992,0.022465,-0.805627,0.105494,0.050897,0.311476,0.082617,-0.103349
821_master,13.6,13+,0.635968,-0.178089,-0.347097,-0.264639,-0.044741,0.073682,-0.080879,-0.325673,-0.350551
725_master,13.3,13,0.638123,-0.874332,0.282191,-0.862371,0.641153,-0.007221,0.258855,-0.157666,-0.306278
66_remaster,13.3,13,0.638817,-0.412027,-0.362875,-0.370554,-0.097243,0.445157,0.26055,0.06127,-0.56916
459_master,13.3,13,0.639802,-0.663601,-0.399968,-0.730715,0.048357,0.025056,0.123093,-0.468355,-0.520312
11134_master,13.4,13,0.644406,-0.730365,0.451585,-0.633128,0.61949,0.363102,0.324838,0.308256,-0.157645
726_master,13.3,13,0.647809,-0.491292,0.374806,-0.42289,0.58423,0.16301,0.272019,0.264915,-0.405026
11383_master,13.6,13+,0.648115,-0.514669,0.142337,-0.614273,0.314868,0.388052,-0.265551,0.017154,0.221996
663_master,13.4,13,0.653493,-0.402457,-0.073606,-0.47973,0.462494,0.993288,-0.156126,-0.092511,-0.303807
234_master,13.2,13,0.653825,-0.940064,0.041858,-1.019233,0.638604,0.724306,-0.026177,-0.158754,-0.349123
628_master,13.7,13+,0.667982,-0.724961,0.058825,-0.571982,0.432942,0.914589,0.525287,-0.130228,-0.155538
11348_master,13.2,13,0.669841,-0.809237,0.176729,-0.6932,0.174413,0.185926,0.404036,0.117718,0.133127
613_master,13.3,13,0.67824,-0.171358,-0.082339,-0.301048,0.239028,0.355832,-0.302206,0.196435,-0.503994
701_master,13.8,13+,0.678876,-0.492323,-0.652479,-0.65891,-0.016541,0.674674,-0.22302,-0.530309,-0.492987
471_master,13.3,13,0.682212,-0.620152,-0.630156,-0.638228,-0.174213,0.532692,0.206485,-0.217471,-0.684723
548_master,13.8,13+,0.683342,-0.691517,-0.652355,-0.694782,-0.265506,0.574483,0.229089,-0.245599,-0.487091
