chart,raw_level,bucket_label,distance_to_centroid,pca_x,pca_y,density_load,rhythm_complexity,movement_stretch,occupancy_pressure,slide_complexity,touch_cross_mix
1235_master,14.5,14,0.338355,1.507547,-0.153756,1.462329,-0.1269,0.052346,-0.327151,-0.06919,-0.35685
773_master,14.8,14+,0.349406,1.394161,-0.045741,1.4025,-0.087743,0.053243,-0.19062,0.096102,-0.356645
11549_master,14.3,14,0.411126,1.684355,-0.039118,1.694702,-0.24005,0.116092,-0.303676,0.029111,0.051611
11677_master,14.5,14,0.435231,1.571028,0.063785,1.585178,-0.096573,-0.311396,-0.189539,0.002201,-0.217363
11788_master,13.9,13+,0.465375,1.315979,-0.016216,1.267336,-0.14479,0.03264,-0.391821,-0.137891,0.20017
812_remaster,14.8,14+,0.495236,1.326493,-0.161685,1.311539,-0.171708,0.158625,-0.241907,0.160969,-0.442425
11389_master,14.5,14,0.497221,1.403885,0.495638,1.339789,0.382315,-0.037198,-0.511793,0.101217,0.192921
11209_master,14.2,14,0.517825,1.362209,0.431217,1.438174,0.334982,0.320543,-0.131756,0.086455,0.150215
11496_master,13.9,13+,0.529302,1.242671,0.315826,1.198583,0.244157,-0.32921,-0.322064,0.149689,-0.252676
11174_master,14.2,14,0.53016,1.129601,0.321917,1.101689,0.159665,0.116491,-0.383538,0.266662,0.14477
11171_master,14.4,14,0.534802,1.350357,0.016449,1.356568,0.108944,-0.162262,-0.106269,-0.269215,-0.390498
11248_master,14.3,14,0.546286,1.237976,0.199388,1.296599,-0.070137,0.188811,-0.172332,0.147166,0.3203
11315_master,14.5,14,0.591073,1.148089,0.502664,1.164577,0.294305,-0.218559,-0.228409,0.37681,-0.051261
746_master,14.8,14+,0.594769,1.449498,-0.088642,1.551908,-0.122476,0.132927,0.08373,0.035505,-0.454827
11687_master,14.5,14,0.599459,1.273436,0.461993,1.205767,0.561611,-0.074078,-0.406483,0.033129,-0.240542
825_remaster,14.8,14+,0.601184,1.882176,0.241138,1.84736,0.243699,0.098277,-0.42804,0.259629,-0.471862
495_master,13.9,13+,0.618175,1.266876,-0.134966,1.170081,0.092475,0.035233,-0.37115,-0.149065,-0.597649
11222_master,14.6,14+,0.621102,1.486913,0.479127,1.484892,0.494013,0.314998,-0.348391,0.34875,-0.253156
11314_master,13.9,13+,0.627653,1.113902,-0.082443,1.036344,0.105283,-0.036531,-0.301834,-0.321869,-0.338395
11391_master,14.8,14+,0.6325,2.04448,0.000169,2.037325,-0.141107,-0.115948,-0.344863,-0.146505,-0.102527
11235_master,14.7,14+,0.632581,1.714089,0.161001,1.583135,0.250294,-0.254088,-0.585811,-0.427246,-0.062002
11721_master,14.0,14,0.636334,1.141287,-0.234,1.042123,-0.038897,0.208698,-0.392618,-0.102166,-0.478884
11216_master,14.4,14,0.637365,1.191783,-0.152364,1.071424,-0.040331,0.172869,-0.501786,0.158032,-0.501854
1085_master,14.3,14,0.649553,1.436655,0.211412,1.527219,0.032204,-0.021539,-0.022395,0.471628,-0.456276
11294_master,14.3,14,0.650695,1.302682,-0.001872,1.383302,-0.377112,-0.229589,-0.038877,0.138517,0.117648
11899_master,13.8,13+,0.660586,1.320019,0.56373,1.463133,0.237992,-0.063938,0.048786,0.528482,-0.041164
632_master,14.0,14,0.66969,1.398706,0.254439,1.483663,0.257156,0.062354,0.013127,0.276517,-0.579862
11544_master,14.6,14+,0.678846,1.27706,0.128054,1.15073,-0.095421,0.05436,-0.685458,0.452994,0.060757
825_master,14.6,14+,0.684264,1.54922,-0.306342,1.37154,7.6e-05,0.352326,-0.665712,-0.301429,-0.457476
11455_master,13.7,13+,0.712667,1.028146,-0.015909,0.988884,-0.125905,0.353099,-0.37579,0.377271,-0.09417
11426_master,14.4,14,0.713521,1.087381,-0.277818,1.109083,-0.314066,-0.110069,-0.036671,-0.289381,-0.175511
11548_master,14.6,14+,0.717262,0.905336,0.382771,0.966528,0.242843,0.246338,-0.106123,0.218844,0.176722
11378_master,14.5,14,0.717384,1.364698,-0.385417,1.267223,-0.454425,0.210894,-0.502328,-0.248425,0.13411
11502_master,13.9,13+,0.72532,1.343266,0.242242,1.309076,0.285745,-0.233438,-0.266221,0.268936,-0.664526
11706_master,13.9,13+,0.737962,1.175412,0.536932,1.212867,0.269559,-0.2555,-0.187723,0.598051,-0.183757
11302_master,14.6,14+,0.743043,1.152259,0.6489,1.215592,0.529911,0.051626,-0.131522,-0.042208,0.36071
11681_master,14.3,14,0.745697,0.954951,0.331879,0.971395,0.37618,0.221921,-0.162518,0.30749,-0.329372
11303_master,14.0,14,0.747322,0.995228,0.259074,0.993392,0.388748,-0.15814,-0.106167,-0.301607,-0.189452
11423_master,14.1,14,0.7502,1.241181,-0.323867,1.213331,-0.366743,0.397525,-0.30389,0.302375,-0.40633
11364_master,14.7,14+,0.753418,1.258571,0.106131,1.313895,-0.320571,-0.236695,-0.147562,0.064432,0.427053
796_master,14.4,14,0.757869,0.997224,-0.272468,0.907578,-0.226225,-0.190383,-0.316713,-0.249191,-0.254178
11536_master,13.9,13+,0.759435,1.104474,0.155828,1.15025,-0.260304,0.045988,-0.212369,0.535479,0.198578
11842_master,14.1,14,0.772007,1.280038,0.585277,1.202308,0.673643,-0.040743,-0.471585,-0.211756,0.147811
11415_master,13.9,13+,0.773982,1.861623,0.060948,1.966597,-0.328883,-0.250027,-0.055971,0.006597,0.130218
11394_master,14.9,14+,0.779683,1.917381,0.257057,2.035851,0.038647,0.391403,-0.115774,0.002604,0.251125
568_master,14.0,14,0.783052,1.415506,-0.484437,1.231052,-0.210434,0.144002,-0.608865,-0.224007,-0.665762
11398_master,14.1,14,0.789033,0.901606,-0.107793,1.019822,-0.161955,0.184557,0.192139,-0.175596,-0.057959
11685_master,14.8,14+,0.795426,0.97392,-0.342398,0.954805,-0.3262,-0.082053,-0.118187,-0.061221,-0.455183
11618_master,14.4,14,0.796126,0.902066,0.06806,0.967232,-0.067854,0.386596,-0.071499,0.004243,0.280447
11454_master,14.0,14,0.796702,1.145433,0.44753,1.064797,0.159888,-0.515952,-0.489257,0.292348,0.144985
11530_master,14.8,14+,0.800911,1.882775,0.412779,1.820675,0.545277,-0.050527,-0.463414,-0.477227,0.024973
11004_remaster,14.2,14,0.801897,0.878841,-0.034781,0.893174,0.059957,0.278441,-0.096012,-0.3465,0.053025
11093_master,14.4,14,0.808971,1.074901,0.149257,1.134142,-0.218908,-0.039579,-0.127999,0.666699,-0.122746
365_master,14.6,14+,0.810991,1.181161,-0.498467,1.029906,-0.414237,-0.07597,-0.50201,-0.096809,-0.505186
496_master,14.7,14+,0.816168,1.100135,-0.346039,1.149565,-0.159564,0.372812,0.048467,-0.328477,-0.420245
11029_master,14.6,14+,0.819733,1.95639,0.408772,1.78827,0.536874,-0.253243,-0.757375,-0.285035,-0.143938
11684_master,14.5,14,0.820288,1.046919,0.087437,1.090223,-0.253744,0.200593,-0.201359,0.62907,0.009273
11160_master,14.0,14,0.825057,1.452093,0.632825,1.403056,0.658023,0.444229,-0.534595,0.362824,-0.024182
11446_master,14.5,14,0.825737,1.641353,-0.358043,1.464125,-0.142087,-0.261925,-0.582789,-0.589626,-0.422637
11591_master,14.0,14,0.827297,1.182477,-0.003651,1.067006,0.085335,0.668151,-0.619418,0.169231,-0.040573
11662_master,14.9,14+,0.827364,2.105355,0.375948,2.139607,0.10333,-0.401921,-0.278099,0.250885,-0.244827
11027_master,14.5,14,0.835227,1.844691,0.000176,1.809223,-0.151024,0.252772,-0.484343,-0.349159,0.471247
11625_master,14.4,14,0.835699,0.974732,0.408227,0.980171,0.297368,0.444553,-0.31772,0.459314,0.087329
11307_master,14.6,14+,0.835722,1.540462,-0.009326,1.602167,-0.512737,0.109532,-0.247644,0.385679,0.359413
11546_master,14.3,14,0.84003,0.847126,0.438099,0.91224,0.539702,0.161745,0.01748,-0.007386,-0.17026
494_master,14.5,14,0.842741,1.465487,-0.027695,1.650338,-0.16077,0.391708,0.234407,0.300771,-0.420914
11457_master,14.6,14+,0.844542,1.807879,0.87472,1.833875,0.679448,-0.003408,-0.389922,0.485266,0.000229
11102_master,14.8,14+,0.858143,2.162403,0.475331,2.198949,0.136374,-0.401081,-0.322868,0.144576,0.0614
812_master,14.4,14,0.858228,1.024338,0.038258,0.960319,0.105256,0.562417,-0.43138,0.388961,-0.302574
11754_master,14.0,14,0.863554,1.097658,-0.338484,0.987698,-0.441426,0.076679,-0.491392,0.38437,-0.404066
840_master,13.8,13+,0.879891,1.380611,-0.656709,1.195053,-0.56033,0.124453,-0.645458,-0.055205,-0.532435
11860_master,14.5,14,0.880786,1.301764,0.930936,1.337976,0.8797,0.058123,-0.253129,0.225899,0.115154
11612_master,14.9,14+,0.882743,1.848215,0.602497,1.918077,0.403239,0.269927,-0.279311,-0.093647,0.532401
11686_master,14.6,14+,0.883094,1.649679,0.699336,1.574225,0.687995,0.253948,-0.628806,0.526821,-0.19932
11876_master,14.4,14,0.883849,1.084123,0.303557,1.179017,0.130246,0.006665,0.015247,-0.358724,0.531623
11814_master,14.8,14+,0.886952,1.396682,0.746152,1.375027,0.296374,-0.24786,-0.510112,0.458047,0.558435
11489_master,14.3,14,0.887025,1.089104,0.521733,1.094832,0.760403,0.207572,-0.1689,-0.265519,-0.108265
11155_master,14.4,14,0.895867,1.718467,-0.433289,1.569994,-0.702148,0.017574,-0.737676,0.248315,-0.070608
492_master,14.0,14,0.898345,1.506477,-0.4097,1.224838,-0.059808,-0.038891,-0.866285,-0.453677,-0.549669
11624_master,14.3,14,0.904023,0.925026,0.266665,1.052017,-0.039436,0.096197,0.073206,-0.055454,0.55742
641_master,14.2,14,0.904726,1.786382,-0.579179,1.628847,-0.266955,0.150339,-0.552718,-0.626827,-0.536608
581_master,14.5,14,0.915304,1.495545,-0.44078,1.43985,-0.619752,0.110241,-0.401277,0.453032,-0.526207
11221_master,14.4,14,0.917155,1.389608,0.330478,1.222906,0.05392,-0.535002,-0.763215,-0.00704,0.418216
848_master,14.0,14,0.919803,1.054687,-0.376608,0.994651,-0.413617,0.373938,-0.359923,0.391371,-0.459212
11284_master,14.4,14,0.93303,1.509666,-0.583466,1.372366,-0.208772,0.485544,-0.494124,-0.639676,-0.409735
11469_master,14.3,14,0.935391,1.216241,-0.073287,1.284022,-0.525565,-0.288942,-0.075075,-0.052627,0.450277
22_remaster,14.8,14+,0.937921,1.994646,0.053333,1.910101,-0.066352,0.035247,-0.599547,0.603724,-0.64199
11877_master,13.8,13+,0.93903,1.032076,0.024247,0.973217,-0.031127,-0.209841,-0.314271,-0.530161,0.378581
803_master,14.3,14,0.952011,1.259339,-0.326736,1.11827,-0.410691,0.182989,-0.624194,0.545587,-0.523212
11413_master,13.9,13+,0.956242,1.188256,-0.471966,1.25218,-0.700233,0.376633,-0.061217,0.28891,-0.203146
460_master,13.9,13+,0.960204,2.276328,-0.02195,2.16527,-0.064305,0.041993,-0.6813,0.317068,-0.599841
11752_master,14.7,14+,0.961587,1.416358,0.605559,1.57954,-0.014914,-0.17534,-0.007059,0.367586,0.702489
11675_master,14.2,14,0.961662,1.24908,0.420836,1.195869,-0.085988,-0.125389,-0.578885,0.762115,0.352937
11516_master,14.5,14,0.969041,1.902189,0.232625,1.770072,0.486213,-0.349885,-0.54385,-0.643487,-0.290427
11462_master,14.3,14,0.975604,1.17076,0.866416,1.27804,0.858914,0.28717,-0.033843,0.381701,-0.114209
11810_master,14.7,14+,0.976939,1.077474,0.539688,1.077232,0.284752,-0.106869,-0.313026,0.861447,-0.292528
11643_master,14.4,14,0.977831,0.952211,0.901414,0.997493,0.814091,-0.001044,-0.173269,0.271744,0.167681
799_remaster,14.9,14+,0.984048,1.85121,0.150518,1.960474,-0.291106,-0.437022,-0.034038,0.527175,-0.353534
11032_master,13.7,13+,0.985887,1.188874,-0.104346,1.193874,-0.49211,-0.303807,-0.231192,-0.198028,0.52846
11215_master,14.5,14,0.99219,0.968627,0.525005,0.835087,0.568273,0.204338,-0.655229,0.016307,0.318352
10411_master,14.5,14,0.992464,2.02976,-0.538605,1.97056,-0.509077,0.462178,-0.462873,0.063661,-0.567982
