chart,true_label,pred_label,raw_level,cluster_id,distance_to_centroid,density_load,rhythm_complexity,movement_stretch,occupancy_pressure,slide_complexity,touch_cross_mix
11208_master,13+,14,13.8,7,0.871694,-0.015186,-1.34242,-0.190809,-0.010023,-0.622366,-0.097797
11159_master,13+,14,13.7,6,0.519591,-0.060663,-0.15773,0.066403,0.130979,0.272595,-0.184063
592_master,13+,14,13.9,6,0.671444,0.447426,0.029277,-0.003883,-0.480708,-0.039631,-0.436269
11881_master,13+,14,13.8,6,0.943761,0.640255,0.633777,-0.600256,-0.302055,-0.050897,-0.06796
11556_master,13+,14,13.8,6,0.686611,0.556448,0.20973,-0.13721,-0.108958,-0.128209,0.467634
11413_master,13+,14,13.9,1,0.956242,1.25218,-0.700233,0.376633,-0.061217,0.28891,-0.203146
11637_remaster,13+,14,13.8,6,0.550718,0.702482,-0.260708,-0.095812,0.059141,0.07928,-0.195803
411_master,13+,14,13.9,1,1.233518,0.973616,-0.795371,-0.125698,-0.458064,-0.363134,-0.666341
288_master,13+,14,13.8,1,1.322829,0.727774,0.347361,0.234673,-0.878242,-0.762908,-0.454817
427_master,13+,14,13.9,7,0.543799,0.26607,-0.408965,0.469045,-0.400078,-0.35048,-0.219656
