chart,raw_level,bucket_label,distance_to_centroid,pca_x,pca_y
11140_master,13.8,13+,6.198497,4.679181,-5.723606
11307_master,14.6,14+,6.331829,3.533291,-5.44694
11237_master,13.9,13+,6.529692,5.362343,-7.328772
11426_master,14.4,14,6.592517,4.245946,-6.561912
11415_master,13.9,13+,6.639405,5.229149,-6.593944
11092_master,13.7,13+,6.650685,4.715202,-6.012069
11029_master,14.6,14+,6.663316,2.225727,-5.286139
11399_master,13.5,13,6.763636,2.894972,-6.156343
11274_master,13.1,13,6.770577,3.518066,-4.924544
11378_master,14.5,14,6.81018,3.016742,-6.007193
11291_master,13.7,13+,6.903682,3.408948,-5.527602
11241_master,13.2,13,6.915375,2.755318,-4.475687
10602_master,14.0,14,6.928679,3.149621,-5.74109
11176_master,14.3,14,6.952005,2.233046,-3.925341
11193_master,13.1,13,6.987144,4.109231,-5.729881
11233_master,14.0,14,7.043284,4.700693,-6.381931
11391_master,14.8,14+,7.208022,4.511462,-6.046938
11164_master,13.8,13+,7.24933,2.956023,-3.90072
11294_master,14.3,14,7.266365,6.331213,-7.923781
11394_master,14.9,14+,7.274644,4.217854,-6.1749
11222_master,14.6,14+,7.289556,3.51698,-5.890902
11398_master,14.1,14,7.367809,4.433808,-6.03483
11241_remaster,13.8,13+,7.451642,5.354824,-7.325771
11284_master,14.4,14,7.453187,0.284447,-5.063389
11089_master,14.3,14,7.502117,5.192543,-6.561994
11143_master,13.7,13+,7.517519,4.46167,-5.925382
11016_master,13.4,13,7.728693,2.766052,-4.727265
11288_master,13.8,13+,7.757834,3.826636,-4.569253
11230_master,14.3,14,7.764197,3.932626,-5.597233
11235_master,14.7,14+,7.821477,3.815385,-6.508996
11573_master,13.8,13+,7.847157,2.180419,-3.278255
11309_master,13.8,13+,7.857509,3.272832,-4.262076
11205_master,13.0,13,7.880363,2.318907,-6.008554
11106_expert,13.0,13,7.885064,1.800943,-6.094722
11330_master,14.2,14,7.894095,4.590302,-7.437165
11382_master,14.1,14,7.915231,6.923962,-6.512897
11378_expert,13.2,13,7.947536,3.150098,-6.270299
11248_master,14.3,14,7.995264,6.359312,-7.598238
11160_master,14.0,14,8.007541,5.348036,-7.270626
11295_master,14.6,14+,8.011037,5.773102,-8.159384
11596_master,14.0,14,8.146434,4.554455,-6.230467
11445_master,13.7,13+,8.153604,2.495002,-4.24692
11171_master,14.4,14,8.162004,0.725449,-5.200104
11395_master,13.8,13+,8.170302,5.491982,-6.552018
11266_master,13.2,13,8.170716,3.678704,-3.801491
11374_expert,13.0,13,8.1715,3.273943,-6.129033
11200_master,13.0,13,8.178573,3.998818,-5.350356
11393_master,13.8,13+,8.262675,4.074905,-6.664608
11215_master,14.5,14,8.266644,5.491047,-7.292168
11443_master,13.8,13+,8.298164,5.087272,-6.712007
11027_master,14.5,14,8.365064,5.977501,-8.132754
11204_master,13.7,13+,8.389474,2.705512,-6.59691
11210_master,13.8,13+,8.4077,6.408999,-7.410703
11106_master,14.7,14+,8.430592,7.020809,-8.148901
10288_master,13.8,13+,8.463823,4.932295,-6.969114
11174_master,14.2,14,8.467634,2.573507,-5.643038
11146_master,13.8,13+,8.469206,5.617114,-6.770512
11318_master,14.4,14,8.480057,3.91989,-6.44986
11374_master,14.7,14+,8.49578,0.77504,-4.142332
11281_master,14.4,14,8.547807,7.160882,-8.162949
11333_master,13.2,13,8.559081,3.513219,-4.218711
11235_expert,13.0,13,8.559462,3.740224,-4.934548
11331_master,13.9,13+,8.565998,3.964317,-6.903399
11141_master,13.8,13+,8.592438,6.712533,-7.960387
11438_master,13.9,13+,8.595674,2.356687,-4.423871
11394_expert,13.0,13,8.624399,5.88871,-5.89908
11223_master,14.8,14+,8.665956,0.901968,-5.394094
11025_master,13.8,13+,8.667606,2.376112,-5.621808
11618_master,14.4,14,8.684803,4.776666,-4.821773
11305_master,14.0,14,8.753321,2.925173,-5.654517
11209_master,14.2,14,8.815597,3.120045,-4.461663
11744_master,14.4,14,8.822845,3.797016,-3.179909
11098_master,13.2,13,8.858696,5.321731,-5.01167
11158_master,13.7,13+,8.885965,1.810442,-4.312519
11423_master,14.1,14,8.923105,2.654088,-6.210558
11102_master,14.8,14+,8.929475,0.707488,-3.454671
11310_master,14.4,14,8.930669,7.056223,-7.671675
11155_master,14.4,14,8.957278,2.574758,-6.522
11246_master,13.7,13+,8.979744,3.417421,-6.112056
11093_master,14.4,14,8.987054,-0.150707,-3.6646
11369_remaster,13.5,13,8.997421,1.655693,-3.772541
11227_master,14.3,14,9.071321,4.941917,-6.042283
11213_master,13.9,13+,9.084352,0.844748,-4.768511
11315_master,14.5,14,9.085258,5.956804,-8.796526
11328_master,14.2,14,9.170451,7.073152,-7.143127
11758_master,13.7,13+,9.18742,3.530823,-3.614155
11364_master,14.7,14+,9.20235,0.175495,-4.112577
11031_master,13.8,13+,9.243024,2.455149,-4.252201
11216_master,14.4,14,9.251905,-0.804205,-3.766641
11413_master,13.9,13+,9.286799,7.237277,-8.074789
11405_master,14.1,14,9.329493,3.075294,-7.322473
11785_master,13.1,13,9.345721,2.031148,-3.620852
11180_remaster,13.0,13,9.365043,4.469032,-4.426783
10574_master,13.9,13+,9.367939,2.364333,-6.638941
11221_master,14.4,14,9.370039,6.101149,-8.242105
11342_master,13.1,13,9.396333,3.252283,-4.033179
11633_master,13.8,13+,9.397469,5.826773,-5.752304
11908_master,13.3,13,9.466687,6.155371,-5.723831
11380_master,13.4,13,9.472513,4.96805,-5.306936
11459_master,13.7,13+,9.498337,6.303118,-6.410332
11446_expert,13.0,13,9.654827,3.855463,-6.284053
11208_master,13.8,13+,9.65625,0.845772,-3.844694
11023_remaster,14.3,14,9.687016,2.092921,-3.272898
11249_master,13.4,13,9.691081,2.310471,-3.624846
11788_master,13.9,13+,9.749246,6.465819,-1.759369
11805_master,13.2,13,9.756496,1.231952,-3.244043
11425_master,13.9,13+,9.761258,5.192111,-6.590214
11302_master,14.6,14+,9.772211,2.112703,-4.672329
11252_remaster,13.0,13,9.806905,2.787655,-4.213039
11166_master,14.1,14,9.812081,6.50368,-5.388638
10363_master,13.6,13+,9.818128,5.582873,-7.55403
11159_master,13.7,13+,9.84175,0.697732,-3.26687
11347_master,13.7,13+,9.842695,3.116681,-4.39417
11605_master,13.3,13,9.863169,3.441684,-3.160244
11202_master,13.4,13,9.885092,6.622393,-5.717347
11327_master,13.2,13,9.912878,1.632446,-3.452672
11134_master,13.4,13,9.924926,2.838203,-3.993207
11385_master,14.3,14,9.929845,3.634172,-5.859401
11165_master,14.7,14+,9.936577,6.128983,-6.379218
11351_master,13.0,13,9.946467,3.074554,-5.159118
11173_master,13.2,13,9.968233,2.396611,-3.469738
11745_expert,13.4,13,9.993233,2.106092,-3.117125
11400_master,13.9,13+,10.011372,-0.170303,-4.507985
11308_master,13.7,13+,10.032456,1.461127,-3.686389
11065_master,13.9,13+,10.036681,5.720006,-9.274513
11214_master,13.6,13+,10.070728,3.237447,-6.12696
11303_master,14.0,14,10.151868,5.066546,-8.170575
11059_master,13.4,13,10.161281,3.7722,-5.089912
11750_master,13.9,13+,10.248532,4.452308,-3.182091
11211_master,13.7,13+,10.293252,1.468511,-3.227674
11129_master,13.2,13,10.324171,2.922053,-4.090491
11396_master,13.6,13+,10.412779,0.229979,-4.024353
11177_master,13.2,13,10.491682,3.209868,-3.912341
11317_master,13.5,13,10.532573,5.330127,-5.433595
11105_master,13.4,13,10.570564,4.027321,-6.657443
11365_master,13.0,13,10.675084,3.886544,-4.162492
11691_master,14.0,14,10.702891,2.367708,-2.300804
11566_master,13.8,13+,10.802835,5.42195,-5.076252
11792_master,13.8,13+,10.813929,-1.415254,-3.609985
10493_master,13.9,13+,10.842068,4.845103,-2.896658
11329_master,13.1,13,10.996991,2.694693,-4.297435
11167_master,14.5,14,11.013951,-1.098486,-3.4691
11546_master,14.3,14,11.040846,3.290807,-3.789138
11539_master,13.6,13+,11.049418,5.543337,-5.445522
10193_master,13.4,13,11.058939,-0.294468,-4.273607
11321_remaster,13.0,13,11.062078,0.635749,-3.564388
11383_master,13.6,13+,11.156329,4.392101,-4.457585
11004_remaster,14.2,14,11.189502,0.05583,-3.832778
11094_master,13.4,13,11.232521,4.736935,-6.932446
11286_master,13.5,13,11.264791,1.267399,-3.968455
11611_master,14.3,14,11.357654,7.924157,-1.928155
11469_master,14.3,14,11.384876,3.166246,-0.918114
11820_expert,13.7,13+,11.409644,4.502313,-2.023127
11376_master,13.0,13,11.422765,0.561324,-4.006509
11232_master,13.8,13+,11.463469,2.655856,-5.233078
11349_master,13.1,13,11.4894,6.45532,-7.290903
11918_master,14.3,14,11.499203,4.797998,-0.289281
11554_expert,13.0,13,11.551379,3.246372,-2.470574
11392_master,14.7,14+,11.554183,5.65888,-5.188892
11488_master,13.5,13,11.613486,5.772441,-4.018727
11195_master,13.7,13+,11.621712,0.923653,-3.75463
11145_master,13.7,13+,11.637016,4.312625,-8.370221
11408_master,13.2,13,11.653882,2.886719,-4.775821
11363_master,13.5,13,11.695957,-1.325226,-3.963875
11663_expert,13.8,13+,11.810165,4.822943,-2.788892
11742_master,13.4,13,11.822487,6.635993,-0.459585
11242_master,13.0,13,11.842331,6.322521,-6.552466
11721_expert,13.0,13,11.875891,-1.229462,-3.569044
11756_master,13.7,13+,11.879704,7.582302,-0.943174
11316_master,13.5,13,11.914984,1.977673,-4.295489
11648_master,13.7,13+,11.929276,8.417623,-3.428743
11555_master,13.4,13,11.935278,7.669238,-1.609163
11311_expert,13.0,13,11.949788,3.145478,-5.186425
11304_master,13.3,13,12.001749,2.217108,-4.772587
11379_master,14.9,14+,12.086869,4.389989,-6.067654
11359_master,13.0,13,12.282776,4.220443,-6.507908
11533_master,13.7,13+,12.318542,6.848073,-1.476084
11553_master,13.8,13+,12.391459,4.756495,-2.168214
11318_expert,13.1,13,12.44699,4.825796,-9.426199
11064_master,13.8,13+,12.473813,2.215567,-6.306626
11499_master,13.2,13,12.680346,4.639935,-1.394416
11875_master,13.8,13+,12.801505,8.060044,-1.065516
11495_master,13.0,13,12.848562,5.443441,-3.004916
11752_expert,13.5,13,12.883139,4.489339,-1.303405
11900_master,14.2,14,12.895791,2.706491,-5.82362
11662_master,14.9,14+,12.907036,1.343851,-2.150849
11647_master,13.9,13+,12.966095,6.037223,-2.999966
10199_master,13.0,13,12.974628,3.457795,-2.696213
11559_master,13.5,13,13.069805,7.051664,-1.310307
11435_master,13.3,13,13.083742,3.764371,-3.054117
11379_expert,13.7,13+,13.090422,5.26646,-8.419431
11250_remaster,13.0,13,13.250202,4.386577,-3.874946
11170_master,13.1,13,13.336419,0.649323,-3.809682
11917_master,14.1,14,14.071001,5.910375,-0.961384
11225_master,13.8,13+,14.098513,6.005064,-9.356924
11002_remaster,13.8,13+,14.40521,0.269347,-4.992656
11876_expert,13.0,13,14.471115,0.986444,-3.282002
11238_master,14.6,14+,14.626891,4.798275,-8.529778
11470_master,14.7,14+,14.881124,4.888837,-7.726454
11511_master,13.2,13,16.103167,5.743726,-5.274945
11535_master,13.9,13+,16.817055,3.877152,0.011087
11387_master,13.7,13+,17.463543,3.509443,-6.444856
11358_master,13.4,13,17.55578,4.39805,-8.028974
11282_master,13.9,13+,18.604053,7.173406,-6.617982
11444_master,13.3,13,19.513016,6.72112,-6.751503
11463_master,13.2,13,24.553272,8.20618,-0.716385
