chart,raw_level,bucket_label,distance_to_centroid,pca_x,pca_y
630_master,13.4,13,5.04301,-7.660255,1.723706
696_master,13.4,13,5.08124,-7.799202,2.290175
448_master,13.6,13+,5.086948,-7.832194,1.003515
798_master,13.9,13+,5.087976,-8.026426,2.367564
557_master,13.8,13+,5.165977,-7.876309,1.719183
704_remaster,13.4,13,5.225213,-7.266541,1.187112
710_master,13.7,13+,5.306612,-7.77973,2.476409
467_master,13.8,13+,5.321518,-7.97595,1.382775
598_master,13.7,13+,5.326274,-8.311836,1.804637
629_master,13.4,13,5.344463,-7.825132,1.898646
643_expert,13.0,13,5.415981,-7.848551,2.707529
666_master,13.9,13+,5.449874,-7.495566,2.291081
566_master,14.0,14,5.460939,-7.632044,0.649464
819_master,13.4,13,5.485236,-7.606547,1.530894
593_master,14.2,14,5.510693,-7.818052,1.706746
283_master,13.7,13+,5.525719,-7.868752,1.078299
527_master,13.4,13,5.610891,-8.041004,1.838255
648_master,13.3,13,5.61375,-7.751969,2.267371
559_master,13.7,13+,5.618269,-8.160028,2.181836
680_master,13.8,13+,5.637164,-7.561538,0.8938
726_master,13.3,13,5.638134,-7.700619,1.116796
821_master,13.6,13+,5.722108,-7.761005,2.003517
760_master,14.1,14,5.760053,-7.389312,1.063392
649_master,13.7,13+,5.769985,-7.680213,1.350627
771_master,13.9,13+,5.789655,-7.759186,1.171941
853_master,13.0,13,5.79856,-7.884317,1.175696
812_master,14.4,14,5.844201,-7.684709,1.471521
823_master,13.8,13+,5.848036,-7.048293,1.535382
610_master,13.8,13+,5.883039,-7.932141,1.023709
522_master,13.2,13,5.886369,-7.926504,0.840093
745_master,13.9,13+,5.927503,-7.551019,0.694651
673_master,13.5,13,5.931282,-7.646951,3.026532
133_remaster,13.9,13+,5.932408,-7.964445,1.227349
547_master,13.4,13,5.933548,-7.650451,0.955733
622_master,13.4,13,5.941803,-7.909733,2.841013
299_remaster,14.2,14,5.961765,-8.38129,1.888167
413_master,13.4,13,5.990868,-7.821599,1.751552
328_remaster,13.3,13,6.022373,-7.72231,1.264209
526_master,13.3,13,6.025317,-7.779024,1.761385
693_master,13.1,13,6.074636,-7.622459,2.320107
572_master,13.9,13+,6.121619,-7.760558,0.736632
528_master,13.0,13,6.156201,-7.974839,1.258695
642_master,14.0,14,6.164327,-7.591102,1.767781
384_master,14.7,14+,6.194813,-8.165779,1.161522
367_remaster,14.5,14,6.205217,-7.443563,1.671451
