chart,raw_level,bucket_label,distance_to_centroid,pca_x,pca_y
10641_master,13.6,13+,6.531571,8.184095,-8.926653
11290_master,13.2,13,7.130032,8.878355,-8.830373
11048_master,13.2,13,7.684536,9.535643,-10.563752
11157_master,13.4,13,8.028903,8.427383,-9.412867
11101_master,13.9,13+,8.090348,10.388243,-10.118685
11377_master,14.0,14,8.148618,8.648205,-7.788664
11028_master,13.9,13+,8.28694,8.636924,-8.461524
11007_remaster,13.8,13+,8.324284,8.376711,-8.144354
10572_master,13.5,13,8.348386,7.214551,-8.002608
11224_master,13.1,13,8.379032,7.917081,-8.047108
11341_master,13.2,13,8.381527,8.897271,-9.80947
11032_master,13.7,13+,8.390224,7.020411,-8.158942
11226_master,13.0,13,8.393856,9.787779,-9.821673
11234_master,14.4,14,8.556555,9.087607,-11.33497
11026_master,14.7,14+,8.667115,7.373702,-10.038744
11022_master,13.7,13+,8.896912,11.827191,-11.618683
11404_master,13.7,13+,8.905661,10.81638,-10.468775
10593_master,13.5,13,8.926264,11.405467,-11.664315
11300_master,14.3,14,9.100073,6.975729,-8.622487
11319_master,13.9,13+,9.441519,10.508543,-10.853745
11004_master,13.8,13+,9.618662,6.851968,-8.330002
11006_master,13.2,13,9.652402,8.250223,-8.381709
11090_master,13.2,13,9.751329,8.769574,-8.083794
11206_master,14.5,14,9.902293,8.003094,-7.277671
10301_master,13.5,13,9.930346,10.272611,-10.555065
11096_master,13.9,13+,9.997837,7.238256,-7.740921
11299_master,14.1,14,10.210881,7.557906,-9.262545
11312_master,13.2,13,10.36648,10.948698,-9.750443
11279_master,13.1,13,10.402779,8.7766,-7.432812
11148_master,13.9,13+,10.404009,9.366846,-9.049232
11386_master,14.3,14,10.545728,8.740214,-9.050612
11212_master,13.7,13+,10.599177,8.367048,-10.350861
11085_master,13.5,13,10.675297,8.857295,-10.278058
11162_master,13.4,13,10.953942,9.652203,-9.671
11292_master,13.9,13+,11.029222,7.422196,-6.652504
11335_master,13.1,13,11.087028,12.547787,-10.907695
11021_master,13.7,13+,11.157291,12.07146,-9.998054
11322_remaster,13.2,13,11.194411,8.875249,-7.495636
11384_master,13.9,13+,11.253722,8.820854,-10.080752
11389_master,14.5,14,11.263664,9.388645,-11.093871
11420_master,13.2,13,11.328372,7.366621,-6.49953
11018_master,13.5,13,11.335899,5.258028,-6.61629
11231_master,13.7,13+,11.475992,7.441556,-6.903863
11172_master,13.2,13,11.533834,12.962799,-11.087131
11091_master,13.0,13,11.587337,7.784223,-5.98009
11075_master,13.8,13+,11.695103,11.448388,-11.065538
11103_master,14.6,14+,11.750577,12.376186,-13.003304
11020_master,13.4,13,11.838648,10.574409,-11.296672
11411_master,13.0,13,11.982446,7.483705,-6.560221
11057_master,13.5,13,12.029635,10.035916,-9.157737
11401_master,13.2,13,12.232859,9.863236,-9.122414
11030_master,13.4,13,12.282399,7.635086,-7.899021
11017_master,13.0,13,12.419661,15.441264,-13.054238
11709_master,13.3,13,12.449803,10.928563,-2.660023
11360_master,13.2,13,12.450328,8.282911,-6.168909
11149_master,14.2,14,12.518542,7.253875,-8.288817
11437_master,13.3,13,12.706004,7.552913,-5.97931
11189_master,13.0,13,12.706954,8.197223,-8.870084
11289_master,13.4,13,12.83976,7.486094,-5.890394
11058_master,13.3,13,13.074791,12.98087,-11.292686
11111_master,13.2,13,13.120867,5.405886,-6.688637
11005_remaster,14.4,14,13.193645,6.23273,-8.290284
11418_master,13.7,13+,13.227736,9.967537,-9.95252
11175_master,13.8,13+,13.538827,13.884757,-13.686633
11002_master,13.3,13,14.109256,6.719234,-8.898085
10734_master,13.5,13,14.216976,15.224135,-14.298857
11868_master,13.3,13,14.449964,10.055811,-2.019208
11005_master,13.6,13+,14.493529,9.932559,-10.462421
11285_master,13.7,13+,14.645337,12.359169,-11.971889
11718_master,13.3,13,15.275635,12.080495,-2.287058
10202_master,13.4,13,15.617152,5.890471,-6.610122
11419_master,13.9,13+,15.95891,6.122162,-5.556771
10319_master,13.5,13,16.021435,14.845365,-14.519401
11153_master,13.1,13,16.247105,12.133317,-12.990089
11152_master,13.0,13,17.150024,11.63112,-9.912206
11293_master,13.7,13+,17.573757,6.798146,-5.007018
11251_remaster,13.0,13,18.467407,8.71034,-5.208357
11301_master,13.9,13+,19.478977,16.495857,-14.307803
11283_master,13.9,13+,20.155882,6.220033,-7.490245
11429_master,14.1,14,21.323048,7.530183,-3.557269
11142_master,13.9,13+,24.33383,14.453342,-17.447281
11023_master,13.8,13+,27.341339,16.870646,-13.591729
11388_master,14.8,14+,32.270603,12.625356,-17.090693
