chart,raw_level,bucket_label,distance_to_centroid,pca_x,pca_y
11764_remaster,13.4,13,10.622623,22.493214,11.1642
11814_master,14.8,14+,10.680914,14.900053,9.540643
11498_master,13.6,13+,10.75427,17.569603,7.020412
11490_master,13.7,13+,10.954954,21.828064,10.951731
11753_expert,13.5,13,11.552348,18.217426,8.93804
11487_master,13.0,13,11.558932,21.861408,10.147264
11738_master,13.8,13+,11.6769,18.324671,9.219953
11343_remaster,14.3,14,11.755246,17.39658,12.241374
11784_master,13.8,13+,11.757026,21.310526,13.324132
11481_master,13.1,13,12.03124,17.202753,7.175297
10625_master,13.8,13+,12.06286,18.732605,6.486531
11877_master,13.8,13+,12.414403,17.006929,9.025015
11859_master,13.8,13+,12.865448,20.195194,11.762512
11808_master,13.8,13+,13.082569,15.535201,11.25235
11455_master,13.7,13+,13.218718,14.805351,10.4647
11525_master,13.8,13+,13.486434,18.672419,5.587813
11736_master,13.0,13,13.559592,16.446566,14.644961
11473_master,13.2,13,13.62439,19.146078,7.801145
11641_master,13.4,13,14.48592,13.046468,12.525051
10251_master,13.3,13,14.668067,11.744988,15.960291
11761_master,13.9,13+,14.71652,23.473223,8.517021
11547_master,13.8,13+,14.789289,18.082417,6.159705
11796_master,13.8,13+,14.845868,16.728989,10.389071
11846_master,13.4,13,15.441154,24.035162,13.988252
11505_master,13.9,13+,16.003349,15.664852,3.859729
11853_master,13.3,13,16.464088,13.393417,10.854032
11832_master,13.8,13+,17.462597,18.140783,15.529025
11692_remaster,13.8,13+,17.846712,20.932909,9.638864
11772_master,13.7,13+,18.212311,27.995678,18.178162
11486_remaster,13.0,13,18.37722,17.68033,17.637438
11527_master,13.8,13+,18.575142,23.986378,15.409141
11851_master,13.2,13,19.312428,14.49577,8.296792
11708_master,13.4,13,22.172842,10.089116,6.099434
10070_master,14.6,14+,22.262739,32.467781,9.031801
11769_master,13.8,13+,22.304178,20.678596,12.050847
10835_master,13.0,13,28.906487,21.908779,12.482913
11909_master,13.6,13+,29.507917,10.388207,4.023765
10235_master,14.1,14,30.823727,35.004829,14.24943
11650_master,13.1,13,42.915787,20.850725,-2.494025
