chart,raw_level,bucket_label,distance_to_centroid,pca_x,pca_y
786_master,13.8,13+,15.641746,-7.999424,3.793505
330_master,13.2,13,16.085653,-8.389904,4.730125
573_master,13.9,13+,16.996683,-8.128004,1.071839
11340_master,13.1,13,17.094765,-6.902857,1.636625
828_master,13.5,13,18.331982,-10.213071,2.872989
230_master,13.3,13,18.734329,-9.09846,4.78701
295_remaster,13.7,13+,18.746529,-9.462739,5.28402
117_master,13.7,13+,19.048914,-8.716662,0.39278
835_master,13.4,13,19.118475,-9.763325,3.479595
134_master,13.2,13,19.739008,-8.794837,-0.386158
347_master,13.8,13+,19.911263,-8.16695,1.824413
11504_master,13.4,13,24.29715,-3.873168,3.479773
777_remaster,13.8,13+,27.109095,-8.666696,0.381343
308_master,13.7,13+,28.668304,-10.783777,1.562784
216_master,13.3,13,28.853611,-11.524302,0.797342
11100_remaster,13.7,13+,31.109482,-7.625219,1.993424
11597_master,13.1,13,37.430767,1.158515,-1.150565
753_master,13.8,13+,47.885536,-10.168473,4.880686
