chart,raw_level,bucket_label,distance_to_centroid,pca_x,pca_y
142_master,13.3,13,10.528737,-7.850677,-0.696327
239_remaster,14.0,14,10.541817,-8.162682,1.100734
110_master,13.0,13,10.613653,-8.117252,-1.806395
134_remaster,13.4,13,10.739652,-8.106287,1.409602
556_expert,13.1,13,10.813013,-7.691319,-0.280012
135_master,13.2,13,10.884094,-8.260701,0.46584
11412_master,13.9,13+,10.892583,-2.774392,-2.916011
58_master,13.0,13,10.94156,-8.321031,0.370802
270_master,14.0,14,11.172379,-7.882946,-0.874112
204_master,13.3,13,11.268795,-9.094783,-2.721973
799_master,14.8,14+,11.318408,-7.932169,1.097397
132_master,13.7,13+,11.327883,-8.743413,-1.110556
35_master,13.3,13,11.509621,-9.401492,-0.781027
387_master,14.5,14,11.550002,-8.142548,-1.878616
11699_master,13.6,13+,11.550763,-4.97346,-0.992753
285_master,13.7,13+,11.562464,-7.406647,-0.183984
803_remaster,14.9,14+,11.697327,-7.754947,-1.054106
385_expert,13.0,13,11.736382,-7.961875,-1.785849
681_master,13.5,13,11.772713,-8.313839,0.756469
390_master,14.1,14,11.822793,-8.436975,-1.157581
749_master,13.1,13,11.916901,-7.959129,-0.306276
146_master,13.0,13,11.972875,-8.84373,0.729381
155_master,13.2,13,12.027349,-7.945016,1.314662
119_master,13.4,13,12.177903,-7.944478,-1.414259
11089_expert,13.0,13,12.216027,-5.206369,-1.196319
141_master,14.1,14,12.274378,-8.843966,-3.436711
850_master,14.2,14,12.286921,-6.980744,-1.023763
220_master,13.0,13,12.366918,-8.43361,-0.312068
115_master,13.8,13+,12.3695,-8.976875,-1.836319
411_master,13.9,13+,12.379704,-8.283944,-0.782634
11502_master,13.9,13+,12.660325,-3.942474,-1.099519
24_remaster,14.0,14,12.68714,-7.553114,-1.185486
100_remaster,13.2,13,12.989159,-7.694407,0.996782
194_master,13.3,13,13.102233,-9.049512,1.176703
460_master,13.9,13+,13.400025,-7.01724,-1.073953
252_master,13.7,13+,13.690219,-8.5047,0.404223
136_master,13.7,13+,13.786323,-8.19063,0.533064
75_master,13.4,13,13.814466,-9.479212,-1.658346
113_master,13.4,13,14.553774,-9.057972,-3.362861
85_master,13.7,13+,14.594017,-8.904362,0.039637
132_expert,13.1,13,14.660984,-9.120126,-2.929609
224_master,14.0,14,14.804945,-9.117615,-1.662296
689_master,14.6,14+,14.998114,-6.817696,-3.266425
138_master,13.4,13,15.724537,-8.185938,-0.426797
363_master,14.5,14,15.826735,-8.542652,-0.326514
265_master,13.3,13,16.002789,-8.236227,1.380655
22_remaster,14.8,14+,16.172974,-9.118952,0.606316
11333_remaster,13.9,13+,16.611616,-2.370234,-5.436859
144_master,13.3,13,16.655336,-9.078133,-3.961987
339_master,13.9,13+,16.946695,-9.482031,-2.176031
258_master,13.8,13+,18.056488,-9.630717,-2.348923
66_master,13.0,13,18.284504,-9.912556,0.217932
142_expert,13.0,13,19.630087,-8.559668,-3.403535
143_master,14.2,14,20.712671,-9.778794,-3.67327
137_master,13.4,13,21.386631,-9.08722,-2.114176
113_expert,13.0,13,24.180151,-10.177287,-3.983273
114_master,13.6,13+,26.266935,-8.451982,-2.596459
534_master,14.0,14,26.313074,-9.711029,-5.334232
11388_expert,13.5,13,31.324368,-2.109438,-8.578159
689_expert,13.3,13,34.719208,-7.818478,-5.239626
