chart,raw_level,bucket_label,distance_to_centroid,pca_x,pca_y
11899_master,13.8,13+,6.85532,9.51014,4.816741
11687_master,14.5,14,8.288216,7.577555,4.948814
11874_master,13.9,13+,8.441903,13.766455,6.544476
11707_master,14.5,14,8.873972,10.824327,1.567639
11755_master,14.2,14,8.894718,14.074942,6.19139
11816_master,14.0,14,8.934199,9.886333,4.371933
11537_master,14.8,14+,9.057378,13.548853,6.399034
11876_master,14.4,14,9.160639,7.396297,3.169832
11820_master,14.9,14+,9.257214,7.420002,3.596321
11548_master,14.6,14+,9.301435,8.082844,9.706358
11842_master,14.1,14,9.376744,13.569023,4.884181
11705_master,13.4,13,9.395679,9.807526,5.82961
11472_master,14.1,14,9.449586,15.161768,3.883888
11815_master,14.1,14,9.480857,10.530957,3.529608
11752_master,14.7,14+,9.531563,12.953698,3.991836
11684_master,14.5,14,9.575757,6.000238,5.548683
11740_master,13.7,13+,9.636662,8.21365,7.096601
11584_master,13.6,13+,9.72968,10.025743,0.909673
11688_master,13.5,13,9.819139,7.29516,6.47879
11507_master,13.3,13,9.923984,9.121817,5.014397
11825_master,13.8,13+,9.932844,6.79896,5.512205
11564_master,13.7,13+,9.962511,13.22963,6.937923
11600_master,13.1,13,9.98687,9.554586,6.954061
11673_master,14.6,14+,10.057408,12.435115,3.854246
11818_master,14.9,14+,10.074653,11.86037,7.513366
11458_master,14.4,14,10.106414,9.234685,4.117808
11523_expert,13.2,13,10.115732,9.650684,2.073545
11809_master,14.6,14+,10.133533,10.465377,7.611626
11855_master,14.2,14,10.142422,6.838562,8.244565
10422_master,13.9,13+,10.210138,5.160423,2.250158
11616_master,13.7,13+,10.260058,9.035585,0.155559
11743_master,13.8,13+,10.279375,10.399087,4.349082
11840_master,13.3,13,10.285327,11.912718,6.542436
11798_master,13.2,13,10.313933,9.039877,6.751964
11523_master,14.6,14+,10.318173,6.060028,8.787681
11643_master,14.4,14,10.321454,8.497768,2.467362
11689_master,13.7,13+,10.347054,11.897484,3.7032
11822_master,13.9,13+,10.373243,10.024312,4.615096
11657_master,13.8,13+,10.381277,13.595256,4.2272
11509_master,13.9,13+,10.409501,12.965704,4.549476
11675_master,14.2,14,10.457012,8.582203,1.438221
11576_master,14.2,14,10.466632,7.18465,5.005099
11676_master,13.8,13+,10.506841,8.976768,5.157001
11496_master,13.9,13+,10.532423,5.188597,6.681222
11818_expert,13.1,13,10.540308,10.992199,4.000707
11642_master,13.8,13+,10.565625,11.798921,5.814
11475_master,14.3,14,10.629647,12.530408,8.466373
11789_master,14.4,14,10.63359,9.23877,1.619628
11724_master,13.6,13+,10.670187,8.069386,3.993947
11542_master,13.8,13+,10.706734,5.737387,1.819263
11827_master,13.7,13+,10.881326,13.33722,3.164898
11854_master,13.9,13+,10.956293,6.697558,1.824224
10366_master,13.7,13+,10.956384,13.808036,5.616469
11454_master,14.0,14,11.008634,15.388104,7.271421
11746_master,14.8,14+,11.059939,5.939645,6.371302
11739_master,14.1,14,11.150894,7.200514,3.828506
11800_master,13.8,13+,11.16686,12.048582,7.697775
11812_master,13.8,13+,11.177294,10.482945,5.37636
11804_master,13.8,13+,11.188139,10.223211,1.273078
11177_remaster,13.7,13+,11.233084,11.119726,6.766407
11342_remaster,13.8,13+,11.235028,7.570152,5.576172
11544_master,14.6,14+,11.245378,9.128946,-0.218661
11843_master,13.1,13,11.250916,10.111889,5.593314
11829_master,13.6,13+,11.297096,7.346129,7.39871
11817_master,13.9,13+,11.310139,11.605319,7.316794
11821_master,14.0,14,11.39165,16.014441,6.766476
11803_master,13.7,13+,11.419474,11.357613,5.634174
11747_master,13.6,13+,11.421494,8.899953,3.917758
11683_master,13.5,13,11.432157,7.420742,1.11948
11702_master,13.7,13+,11.471276,6.173108,1.551726
11640_master,13.4,13,11.515714,10.601458,8.136108
11848_master,14.1,14,11.544644,4.543618,4.646369
11749_master,14.4,14,11.544944,15.36251,3.881972
11682_master,13.7,13+,11.550292,8.657301,2.016116
11620_master,13.8,13+,11.551049,8.437523,6.638316
11760_remaster,13.2,13,11.583413,8.521944,1.367036
11530_master,14.8,14+,11.609169,7.964293,0.687758
11775_master,13.2,13,11.630312,9.703779,5.249974
11550_master,14.4,14,11.634204,13.525476,5.25404
11753_master,14.9,14+,11.676374,7.353313,0.527698
11529_master,13.9,13+,11.719651,4.707686,3.601889
11015_remaster,14.0,14,11.756024,10.891143,9.691736
11554_master,14.7,14+,11.772516,6.309704,0.173453
11728_master,13.1,13,11.883533,7.341704,4.319197
11610_master,14.0,14,11.929133,8.761565,0.805297
11009_remaster,13.3,13,11.957196,9.060043,12.208579
11713_expert,13.0,13,12.048968,11.026346,2.978033
11521_master,13.3,13,12.060925,9.672941,9.212546
11625_master,14.4,14,12.098512,9.279118,1.893962
11474_master,13.8,13+,12.112698,12.805734,-0.237793
11662_expert,13.7,13+,12.130458,12.678095,7.584701
11617_master,13.8,13+,12.145094,8.589185,2.567832
11671_master,13.9,13+,12.145926,9.718861,-1.000514
