chart,raw_level,bucket_label,distance_to_centroid,pca_x,pca_y
11751_master,13.8,13+,7.491697,1.180735,-2.941176
11793_master,13.2,13,7.586105,-3.422899,-0.027883
11704_master,13.6,13+,7.831952,-0.134535,-0.690189
11306_master,14.5,14,7.835248,0.123032,-1.75028
11410_remaster,13.4,13,7.866382,-0.047911,-1.951378
11770_master,13.7,13+,7.951796,0.603046,-2.209918
11783_master,13.7,13+,8.059585,-1.085323,-1.080793
11491_master,14.0,14,8.227307,0.358659,0.357318
11741_expert,13.0,13,8.231212,-1.381217,-1.664603
11680_master,13.3,13,8.232168,-0.765832,-0.873297
11449_master,13.3,13,8.355726,-2.793864,0.14556
11432_master,13.8,13+,8.418689,-1.639794,-1.603083
11863_master,13.0,13,8.420775,1.464665,-2.446699
11870_master,13.8,13+,8.480415,2.01324,0.618635
10699_master,13.7,13+,8.493488,1.293277,-0.885597
11824_master,13.7,13+,8.496329,-2.066868,0.492149
11574_master,13.0,13,8.503914,-1.360137,0.27844
10303_master,13.3,13,8.504464,-1.41703,0.676242
10404_master,13.4,13,8.570372,-2.34575,1.052055
11771_master,14.2,14,8.598444,0.958912,-0.642211
11334_master,13.9,13+,8.648232,-1.737732,-0.679006
11534_master,14.0,14,8.757455,-2.474414,0.557666
11823_master,14.3,14,8.771508,2.212892,-2.983349
11018_remaster,14.1,14,8.83589,0.250727,-1.320701
11311_master,14.9,14+,8.89546,-2.22312,-1.052584
11287_master,13.9,13+,8.935457,-3.663277,-0.972353
11130_master,13.0,13,8.943764,0.246546,-2.987354
11951_master,13.0,13,8.961028,2.729941,-0.57094
11807_master,13.8,13+,9.061613,-1.712923,-0.108249
11873_master,13.0,13,9.087291,-0.02168,-0.735203
11514_master,13.8,13+,9.087973,-2.191996,0.650024
11278_master,13.0,13,9.101788,-1.298438,-2.536151
11849_master,14.0,14,9.113562,-2.197177,-1.257955
11787_master,13.7,13+,9.11512,-2.197843,1.39572
11373_master,13.0,13,9.138247,-3.20023,0.41869
11297_master,13.5,13,9.161865,-0.971458,-2.881504
11665_master,13.0,13,9.18929,-1.97859,-0.113646
11424_master,13.8,13+,9.214685,-4.499189,0.880457
11781_master,13.0,13,9.261847,1.431694,-1.895285
11407_remaster,13.0,13,9.271358,-0.507726,-1.216854
11880_master,13.7,13+,9.289361,2.959772,-1.44151
11433_master,13.4,13,9.309889,0.135364,-1.402041
11797_master,13.7,13+,9.318686,2.439458,-2.065179
11186_master,13.2,13,9.331402,-0.246689,-2.257371
11697_remaster,13.3,13,9.34108,2.399786,1.79535
10225_master,13.4,13,9.430769,-1.194963,-1.132669
11571_master,13.2,13,9.439931,-3.579242,0.752846
11778_remaster,14.0,14,9.445619,-4.482025,0.376496
11275_master,13.4,13,9.496725,0.837114,-2.16725
11916_master,13.1,13,9.530539,-0.03167,0.325456
11745_master,14.8,14+,9.550994,-0.592333,-2.519293
11578_master,14.4,14,9.566326,-1.037331,-2.838326
11759_master,14.1,14,9.57776,1.226574,-1.430729
11623_master,13.4,13,9.61125,-2.443051,0.095886
11627_master,14.2,14,9.615171,-2.339711,-0.672602
11390_master,13.6,13+,9.625643,1.030206,-3.091554
11733_master,13.7,13+,9.669046,-0.465945,-0.665251
11763_remaster,13.5,13,9.70074,-4.115518,-0.094298
11810_master,14.7,14+,9.731718,1.235119,-1.045958
11267_master,13.2,13,9.757612,-0.709516,-2.132706
11604_master,13.7,13+,9.798189,-1.731859,-1.255574
11834_master,13.7,13+,9.840953,-1.895173,0.13
